Scenario,Age0,Age1,Arm,Year0,N0,Index,A,M,L,U
Overall,70,80,ReRZV_1d,2024,1,N0,1,1,1,1
Overall,70,80,ReRZV_1d,2024,1,dYear_Life,3.5091399438044133e-4,3.463109764023642e-4,2.6431319125546087e-4,4.6215473841311195e-4
Overall,70,80,ReRZV_1d,2024,1,dYear_Immunised,6.968332717839539,6.959493441700027,6.002326329734144,8.113107894185713
Overall,70,80,ReRZV_1d,2024,1,dRisk_HZ,-0.061980494032812104,-0.06187124233787339,-0.07297920750411792,-0.052541173997914824
Overall,70,80,ReRZV_1d,2024,1,dRisk_Hosp,-0.0025864980934952497,-0.0025468324631052444,-0.0034373665030760013,-0.0018586850873841187
Overall,70,80,ReRZV_1d,2024,1,dRisk_PHN,-0.005036048966626695,-0.00502690663332824,-0.006017884755457176,-0.004109418629235413
Overall,70,80,ReRZV_1d,2024,1,dRisk_Death,-6.987743846166471e-7,-6.87875412637661e-7,-9.321771746978483e-7,-5.120318083523047e-7
Overall,70,80,ReRZV_1d,2024,1,dQ_Life,2.426114921415987e-4,2.39937371463661e-4,1.8336115522830097e-4,3.1665083471805745e-4
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ,0.008593664990905872,0.008561256004155166,0.007023155260905754,0.010363404218836919
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_Norm,0.0023787327373944386,0.0023645743347750544,0.0019495062358787292,0.002885003606039785
Overall,70,80,ReRZV_1d,2024,1,dQ_All,0.008833460198771185,0.008794959797137736,0.007217900805559463,0.010639525826613514
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_d,0.008593664990905872,0.008561256004155166,0.007023155260905754,0.010363404218836919
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_Norm_d,0.0023787327373944386,0.0023645743347750544,0.0019495062358787292,0.002885003606039785
Overall,70,80,ReRZV_1d,2024,1,dQ_Life_d,2.426114921415987e-4,2.39937371463661e-4,1.8336115522830097e-4,3.1665083471805745e-4
Overall,70,80,ReRZV_1d,2024,1,dQ_All_d,0.008836276483047488,0.008797434691069306,0.007219413577273493,0.01064479806823919
Overall,70,80,ReRZV_1d,2024,1,dC_Hosp,-10.946405052404163,-10.749870110154113,-14.769411735286354,-7.751981991508012
Overall,70,80,ReRZV_1d,2024,1,dC_GP_NonPHN,-5.5956954379441575,-5.581950396958642,-6.535420448469294,-4.771278498671679
Overall,70,80,ReRZV_1d,2024,1,dC_GP_PHN,-2.2191653889571143,-2.2034744314742127,-2.707079315229545,-1.7942668821338204
Overall,70,80,ReRZV_1d,2024,1,dC_GP,-7.814860826901271,-7.785785406086313,-9.161422449903355,-6.592161236636403
Overall,70,80,ReRZV_1d,2024,1,dC_Med,-18.761265879305434,-18.57181994116891,-23.55589356587477,-14.63961447558416
Overall,70,80,ReRZV_1d,2024,1,dC_VacZVL,110,110,110,110
Overall,70,80,ReRZV_1d,2024,1,dC_VacRZV,68.66176314927762,68.66176674150324,68.66160728710788,68.66190221761643
