Price,Arm,PrCE20,PrCE30
0,Vac1,1,1
5,Vac1,1,1
10,Vac1,1,1
15,Vac1,1,1
20,Vac1,1,1
25,Vac1,1,1
30,Vac1,1,1
35,Vac1,1,1
40,Vac1,1,1
45,Vac1,1,1
50,Vac1,1,1
55,Vac1,1,1
60,Vac1,1,1
65,Vac1,1,1
70,Vac1,1,1
75,Vac1,1,1
80,Vac1,0.999,1
85,Vac1,0.9975,1
90,Vac1,0.99,1
95,Vac1,0.9865,1
100,Vac1,0.973,1
105,Vac1,0.9505,1
110,Vac1,0.9155,1
115,Vac1,0.863,0.9995
120,Vac1,0.805,0.9985
125,Vac1,0.7395,0.9975
130,Vac1,0.6685,0.993
135,Vac1,0.6005,0.989
140,Vac1,0.524,0.985
145,Vac1,0.432,0.977
150,Vac1,0.3555,0.9605
155,Vac1,0.3005,0.9455
160,Vac1,0.2455,0.9205
165,Vac1,0.208,0.886
170,Vac1,0.1775,0.8455
175,Vac1,0.153,0.807
180,Vac1,0.126,0.7615
185,Vac1,0.1085,0.721
190,Vac1,0.0875,0.669
195,Vac1,0.0715,0.621
200,Vac1,0.0565,0.5705
205,Vac1,0.049,0.518
210,Vac1,0.0355,0.4525
215,Vac1,0.025,0.398
220,Vac1,0.0175,0.348
225,Vac1,0.0135,0.31
230,Vac1,0.01,0.27
235,Vac1,0.006,0.2365
240,Vac1,0.0045,0.2095
245,Vac1,0.002,0.189
250,Vac1,0.001,0.1735
255,Vac1,0,0.153
260,Vac1,0,0.135
265,Vac1,0,0.1215
270,Vac1,0,0.1075
275,Vac1,0,0.094
280,Vac1,0,0.0825
285,Vac1,0,0.069
290,Vac1,0,0.0605
295,Vac1,0,0.0525
300,Vac1,0,0.0475
0,Vac2,1,1
5,Vac2,1,1
10,Vac2,1,1
15,Vac2,1,1
20,Vac2,1,1
25,Vac2,1,1
30,Vac2,1,1
35,Vac2,1,1
40,Vac2,1,1
45,Vac2,1,1
50,Vac2,1,1
55,Vac2,0.9995,1
60,Vac2,0.9935,1
65,Vac2,0.9795,1
70,Vac2,0.9415,1
75,Vac2,0.8625,1
80,Vac2,0.7435,1
85,Vac2,0.6135,0.9965
90,Vac2,0.4815,0.99
95,Vac2,0.3595,0.9795
100,Vac2,0.266,0.9565
105,Vac2,0.191,0.915
110,Vac2,0.1455,0.8555
115,Vac2,0.1025,0.772
120,Vac2,0.066,0.6915
125,Vac2,0.0415,0.6
130,Vac2,0.02,0.511
135,Vac2,0.0115,0.422
140,Vac2,0.003,0.336
145,Vac2,0.0015,0.274
150,Vac2,0,0.222
155,Vac2,0,0.1745
160,Vac2,0,0.146
165,Vac2,0,0.1125
170,Vac2,0,0.091
175,Vac2,0,0.0645
180,Vac2,0,0.0475
185,Vac2,0,0.0315
190,Vac2,0,0.0195
195,Vac2,0,0.0125
200,Vac2,0,0.0065
205,Vac2,0,0.0025
210,Vac2,0,0.0015
215,Vac2,0,0
220,Vac2,0,0
225,Vac2,0,0
230,Vac2,0,0
235,Vac2,0,0
240,Vac2,0,0
245,Vac2,0,0
250,Vac2,0,0
255,Vac2,0,0
260,Vac2,0,0
265,Vac2,0,0
270,Vac2,0,0
275,Vac2,0,0
280,Vac2,0,0
285,Vac2,0,0
290,Vac2,0,0
295,Vac2,0,0
300,Vac2,0,0
