Scenario,Age0,Arm,Year0,N0,Index,A,M,L,U
Vac_50,50,RZV_1d,2024,1,dYear_Life,8.953223647269227e-5,4.1632371772237775e-5,1.251671368738272e-5,4.4889764377060705e-4
Vac_50,50,RZV_1d,2024,1,dYear_Immunised,9.352988756929749,8.155833384839054,5.390134803558301,19.456265778900292
Vac_50,50,RZV_1d,2024,1,dRisk_HZ,-0.05217201078945614,-0.041992568087735674,-0.13179855909619667,-0.02511316476860434
Vac_50,50,RZV_1d,2024,1,dRisk_Hosp,-7.267194377897137e-4,-3.706785020755215e-4,-0.0034440673222734643,-1.4169258463941754e-4
Vac_50,50,RZV_1d,2024,1,dRisk_PHN,-0.002409563532027334,-0.001662099340437595,-0.007926371188434126,-8.48298656775643e-4
Vac_50,50,RZV_1d,2024,1,dRisk_Death,-1.442921342661313e-7,-4.868965955544305e-8,-8.353087519700157e-7,-6.941791405397859e-9
Vac_50,50,RZV_1d,2024,1,dQ_Life,6.358146052031444e-5,3.0277811221779416e-5,9.387311399589039e-6,3.117799980908664e-4
Vac_50,50,RZV_1d,2024,1,dQ_HZ,0.0062480334634358505,0.00484151417512374,0.00278757159506134,0.017018903265113787
Vac_50,50,RZV_1d,2024,1,dQ_HZ_Norm,0.002566452422908993,0.0021178077763477163,0.0013036088454345804,0.006041476477529563
Vac_50,50,RZV_1d,2024,1,dQ_All,0.006311052003863334,0.004873667035106166,0.0028005967360998697,0.017325836452774815
Vac_50,50,RZV_1d,2024,1,dQ_HZ_d,0.004098479971614141,0.003520007271156306,0.00226393834590256,0.008860911600289336
Vac_50,50,RZV_1d,2024,1,dQ_HZ_Norm_d,0.0017947056521999479,0.0016042067541347871,0.0010623485215343796,0.0034121819789222946
Vac_50,50,RZV_1d,2024,1,dQ_Life_d,2.0738085075866054e-5,1.1644355311979382e-5,4.185392767874774e-6,8.850497613268613e-5
Vac_50,50,RZV_1d,2024,1,dQ_All_d,0.004119218056690045,0.0035320261296778455,0.0022750130664643373,0.008948947994566489
Vac_50,50,RZV_1d,2024,1,dC_Hosp,-2.7163028180540416,-1.2240493124556622,-14.095524289853211,-0.40506661921676157
Vac_50,50,RZV_1d,2024,1,dC_GP_NonPHN,-5.036358506141518,-4.09468717184463,-12.470294906811752,-2.4781017908920426
Vac_50,50,RZV_1d,2024,1,dC_GP_PHN,-1.0895711674016155,-0.7508740117313284,-3.591487987751358,-0.38075180149938403
Vac_50,50,RZV_1d,2024,1,dC_GP,-6.1259296735431334,-4.863494936957229,-15.915163883133133,-2.84685807645675
Vac_50,50,RZV_1d,2024,1,dC_Med,-8.842232491597175,-6.08548014555485,-30.124580245895068,-3.2862012961506233
Vac_50,50,RZV_1d,2024,1,dC_VacZVL,0,0,0,0
Vac_50,50,RZV_1d,2024,1,dC_VacRZV,85,85,85,85
Vac_50,50,RZV_1d,2024,1,dC_Vac,85,85,85,85
Vac_50,50,RZV_1d,2024,1,dC_All,76.15776750840283,78.91451985444515,54.875419754104954,81.71379870384936
Vac_50,50,RZV_1d,2024,1,dC_Hosp_d,-1.1653639385969845,-0.6756241073641531,-4.9489998595096365,-0.29296008855743205
Vac_50,50,RZV_1d,2024,1,dC_GP_NonPHN_d,-3.440313436124262,-3.0730111172846746,-6.786666376726791,-2.006083996618082
Vac_50,50,RZV_1d,2024,1,dC_GP_PHN_d,-0.6435534817016212,-0.5118667621060831,-1.6687273209002442,-0.2974689943685873
Vac_50,50,RZV_1d,2024,1,dC_GP_d,-4.083866917825883,-3.5705109446786825,-8.361240342150655,-2.3180389604760547
Vac_50,50,RZV_1d,2024,1,dC_Med_d,-5.249230856422868,-4.2400781405260854,-13.258959079249518,-2.6282633624798573
Vac_50,50,RZV_1d,2024,1,dC_VacZVL_d,0,0,0,0
Vac_50,50,RZV_1d,2024,1,dC_VacRZV_d,85,85,85,85
Vac_50,50,RZV_1d,2024,1,dC_Vac_d,85,85,85,85
Vac_50,50,RZV_1d,2024,1,dC_All_d,79.75076914357713,80.7599218594739,71.74104092075049,82.37173663752014
Vac_50,50,RZV_1d,2024,1,dN_VacZVL,0,0,0,0
Vac_50,50,RZV_1d,2024,1,dN_VacRZV,1,1,1,1
Vac_50,50,RZV_1d,2024,1,dN_VacZVL_d,0,0,0,0
Vac_50,50,RZV_1d,2024,1,dN_VacRZV_d,1,1,1,1
Vac_50,50,RZV_1d,2024,1,ICER,22153.426146623162,22861.1627792274,8043.002063464891,36198.589442279685
Vac_50,50,RZV_1d,2024,1,Price0,85,85,85,85
