Scenario,Age0,Age1,Arm,Year0,dN0_A,dN0_M,dN0_L,dN0_U,dYear_Life_A,dYear_Life_M,dYear_Life_L,dYear_Life_U,dYear_Immunised_A,dYear_Immunised_M,dYear_Immunised_L,dYear_Immunised_U,dRisk_HZ_A,dRisk_HZ_M,dRisk_HZ_L,dRisk_HZ_U,dRisk_Hosp_A,dRisk_Hosp_M,dRisk_Hosp_L,dRisk_Hosp_U,dRisk_PHN_A,dRisk_PHN_M,dRisk_PHN_L,dRisk_PHN_U,dRisk_Death_A,dRisk_Death_M,dRisk_Death_L,dRisk_Death_U,dQ_Life_A,dQ_Life_M,dQ_Life_L,dQ_Life_U,dQ_HZ_A,dQ_HZ_M,dQ_HZ_L,dQ_HZ_U,dQ_All_A,dQ_All_M,dQ_All_L,dQ_All_U,dQ_HZ_d_A,dQ_HZ_d_M,dQ_HZ_d_L,dQ_HZ_d_U,dQ_Life_d_A,dQ_Life_d_M,dQ_Life_d_L,dQ_Life_d_U,dQ_All_d_A,dQ_All_d_M,dQ_All_d_L,dQ_All_d_U,dC_Hosp_A,dC_Hosp_M,dC_Hosp_L,dC_Hosp_U,dC_GP_NonPHN_A,dC_GP_NonPHN_M,dC_GP_NonPHN_L,dC_GP_NonPHN_U,dC_GP_PHN_A,dC_GP_PHN_M,dC_GP_PHN_L,dC_GP_PHN_U,dC_GP_A,dC_GP_M,dC_GP_L,dC_GP_U,dC_Med_A,dC_Med_M,dC_Med_L,dC_Med_U,dC_VacZVL_A,dC_VacZVL_M,dC_VacZVL_L,dC_VacZVL_U,dC_VacRZV_A,dC_VacRZV_M,dC_VacRZV_L,dC_VacRZV_U,dC_Vac_A,dC_Vac_M,dC_Vac_L,dC_Vac_U,dC_All_A,dC_All_M,dC_All_L,dC_All_U,dC_Hosp_d_A,dC_Hosp_d_M,dC_Hosp_d_L,dC_Hosp_d_U,dC_GP_NonPHN_d_A,dC_GP_NonPHN_d_M,dC_GP_NonPHN_d_L,dC_GP_NonPHN_d_U,dC_GP_PHN_d_A,dC_GP_PHN_d_M,dC_GP_PHN_d_L,dC_GP_PHN_d_U,dC_GP_d_A,dC_GP_d_M,dC_GP_d_L,dC_GP_d_U,dC_Med_d_A,dC_Med_d_M,dC_Med_d_L,dC_Med_d_U,dC_VacZVL_d_A,dC_VacZVL_d_M,dC_VacZVL_d_L,dC_VacZVL_d_U,dC_VacRZV_d_A,dC_VacRZV_d_M,dC_VacRZV_d_L,dC_VacRZV_d_U,dC_Vac_d_A,dC_Vac_d_M,dC_Vac_d_L,dC_Vac_d_U,dC_All_d_A,dC_All_d_M,dC_All_d_L,dC_All_d_U,dN_VacZVL_A,dN_VacZVL_M,dN_VacZVL_L,dN_VacZVL_U,dN_VacRZV_A,dN_VacRZV_M,dN_VacRZV_L,dN_VacRZV_U,dN_VacZVL_d_A,dN_VacZVL_d_M,dN_VacZVL_d_L,dN_VacZVL_d_U,dN_VacRZV_d_A,dN_VacRZV_d_M,dN_VacRZV_d_L,dN_VacRZV_d_U,ICER_A,ICER_M,ICER_L,ICER_U,Price0_A,Price0_M,Price0_L,Price0_U,Thres20_A,Thres20_M,Thres20_L,Thres20_U,Thres30_A,Thres30_M,Thres30_L,Thres30_U,Thres20_50,Thres30_90,Thres
"Second_[70,75)",70,"[70,75)",ReVac_RZV1,2024,0,0,0,0,1.871193623932399e-4,1.5476097838451608e-4,8.066420783712225e-5,3.8013438556321326e-4,3.6412931187502022,3.4940180993513676,2.2608111618126054,6.177949349212236,-0.0344444799487906,-0.032999031607719546,-0.05898830594055374,-0.02169202250765307,-0.0013637331453729394,-0.0011606682540763612,-0.0028743124739294217,-6.700201228850048e-4,-0.0029330955610271615,-0.002808277944543767,-0.005158100412460445,-0.0017176971932837395,-3.4738342524064504e-7,-2.7588235146929274e-7,-7.897484979388362e-7,-1.0221600510899666e-7,282.6946999050677,234.728451307863,123.05403262237087,569.9269730280153,8543.224712437874,7779.635057118261,5001.783631971576,15092.452110756549,8825.919412342831,7989.655244763941,5131.68978773579,15660.995320354588,6731.363361941958,6509.490187873959,4354.027609789997,10884.065160990522,163.92532902676612,141.80100820586085,78.09332933910191,310.02623827485365,6895.288690968975,6656.249814528972,4437.485803648457,11193.757222738861,-9225797.303469595,-7751138.783859396,-20172481.817910805,-4275506.298442498,-5988288.162086047,-5677701.2743876595,-10251698.625775669,-3821192.5239332058,-2476948.5525281397,-2335636.6221385384,-4240229.813392524,-1436200.793829346,-8465236.714614186,-8013337.896526199,-14491928.43916819,-5345680.73575967,-17691034.01808378,-15881001.211180653,-34235246.905921675,-9652528.660518713,0,0,0,0,179755705,179755705,179755705,179755705,179755705,179755705,179755705,179755705,162064670.98191622,163874703.78881934,145520458.09407833,170103176.3394813,-6608710.5400198195,-5867889.541684553,-12926898.14045756,-3569124.6801024154,-4790498.974747207,-4606168.123351813,-7526760.42335469,-3244365.2694360167,-1956319.2512568333,-1875861.775005566,-3075424.16891777,-1239698.5022879727,-6746818.22600404,-6482029.89835738,-10602184.59227246,-4602616.282993164,-13355528.76602386,-12765696.20320316,-23344520.75002399,-8193353.168285835,0,0,0,0,179755705,179755705,179755705,179755705,179755705,179755705,179755705,179755705,166400176.23397613,166990008.79679683,156411184.24997604,171562351.83171415,0,0,0,0,2114773,2114773,2114773,2114773,0,0,0,0,2114773,2114773,2114773,2114773,26355.80190390428,25240.393746813403,13997.179044086057,38663.88445121271,85,85,85,85,71.52602316437904,68.52557486985816,45.87667187102218,116.87028025628084,104.13136043210932,100.00058336736107,66.85994432460683,169.801527358163,68.52557486985816,159.44099920300792,68.52557486985816
"Second_[70,75)",70,"[70,75)",ReVac_RZV2,2024,0,0,0,0,2.7523149845904983e-4,2.397420800583916e-4,1.4556063882684712e-4,4.912680751494757e-4,5.236797346607422,5.07981556326535,3.684013586959093,7.901755880511164,-0.04960248463003201,-0.04755510556356091,-0.0752690605566981,-0.03474318048959801,-0.002015176821004744,-0.0017954506622699193,-0.0037197445414056396,-0.0011626807038913462,-0.004234323986185312,-0.004106795987082096,-0.006561020869052966,-0.0027527758554914475,-4.874997228820226e-7,-4.4209104364898636e-7,-9.154773985840247e-7,-1.9848809736075737e-7,415.526017116569,362.8680115379393,221.55737371165304,735.1177237536758,12329.558051573298,11201.356540848365,7897.581610760291,19225.340975769683,12745.084068689495,11563.031866928563,8120.28191224318,19941.374835937655,9634.519036625808,9037.486187100178,6684.576471969943,13939.363494999194,239.3065184975043,212.4435315579176,138.01757752457632,396.5031652723439,9873.825555123389,9229.941419536248,6823.408049350604,14330.07551205037,-13677989.709956594,-12106738.614464834,-26019896.531506345,-7549306.846976741,-8609846.362100072,-8300072.177614577,-13092864.736832567,-6133628.36233299,-3575710.2565862923,-3442345.9090232733,-5395763.299264077,-2293218.069860141,-12185556.618686365,-11742418.08663785,-18488628.03609664,-8427105.56182738,-25863546.328642957,-23849156.70110269,-43331575.09783077,-15980079.58987342,0,0,0,0,359511410,359511410,359511410,359511410,359511410,359511410,359511410,359511410,333647863.67135704,335662253.2988973,316179834.9021692,343531330.41012657,-9707313.240124308,-8779492.110153425,-16834560.23189194,-6043898.520520495,-6833241.160094824,-6654652.878583929,-9671136.277437542,-5237534.686247404,-2800560.260751834,-2723059.2334237727,-3933062.7100206465,-1924341.6629911088,-9633801.420846658,-9372614.68141146,-13604198.98745819,-7162435.933992784,-19341114.660970964,-18221807.979861062,-29684010.046087876,-13206334.454513285,0,0,0,0,359511410,359511410,359511410,359511410,359511410,359511410,359511410,359511410,340170295.339029,341289602.02013886,329827399.95391214,346305075.5454867,0,0,0,0,4229546,4229546,4229546,4229546,0,0,0,0,4229546,4229546,4229546,4229546,36311.11674889338,36987.48472956757,23048.292861159694,50781.27339020482,85,85,85,85,51.26262387581049,47.92923831761889,35.38783960300358,74.76358874009368,74.60750664839031,69.75177298099942,51.52055940165479,108.6444722014637,47.92923831761889,103.86006859819196,47.92923831761889
"Second_[70,75)",71,"[70,75)",ReVac_RZV1,2024,0,0,0,0,1.853182883086113e-4,1.545119776444892e-4,7.945264725295331e-5,3.7424140403681245e-4,3.4607082025595646,3.3253990761543637,2.1256583149826564,5.893634143451453,-0.032715847576374565,-0.03136018849530488,-0.05614971425400132,-0.020393766142401022,-0.0013428275092684549,-0.0011530621103173003,-0.00279537639351229,-6.569211098910439e-4,-0.0028180150571497217,-0.002699722082526401,-0.0049452289798911616,-0.001646814242128751,-3.4412011140329697e-7,-2.74892319435495e-7,-7.721140718227029e-7,-9.97185389220798e-8,208.54538527633994,174.5069712754339,90.18754768529908,418.1985503444448,6120.651453025705,5608.640133495395,3553.89241425071,10828.57790586469,6329.196838301979,5764.952263345942,3648.809748088289,11245.940826150216,4826.568393343421,4685.023589941728,3089.248224276882,7832.604369820114,121.86162048028783,106.28946231491864,57.58362865829841,229.88386709112675,4948.430013824254,4795.364508942701,3154.4654040158257,8062.317994668287,-6843517.563416564,-5804604.280937277,-14760434.691587878,-3158866.869336902,-4256765.260902265,-4036626.859750348,-7305561.443905259,-2688743.785335485,-1783156.9188798666,-1681564.7629885483,-3045879.7748680627,-1033552.209457671,-6039922.179782132,-5718191.622738897,-10351441.218773322,-3778954.5214077714,-12883439.743198697,-11683941.536332875,-24911547.938587353,-6971802.090381948,0,0,0,0,134986970,134986970,134986970,134986970,134986970,134986970,134986970,134986970,122103530.2568013,123303028.46366712,110075422.06141263,128015167.90961802,-4925685.495737606,-4443178.845203297,-9540103.392494837,-2643472.3538579363,-3406349.1059181658,-3282704.1372030415,-5375752.355163998,-2268255.2674223557,-1411600.2274106683,-1360251.7632577936,-2218375.5725444527,-893307.2816963133,-4817949.333328835,-4642955.900460836,-7594127.927708451,-3233337.793248894,-9743634.829066439,-9350450.397138596,-17066837.52455991,-5894846.506074047,0,0,0,0,134986970,134986970,134986970,134986970,134986970,134986970,134986970,134986970,125243335.17093356,125636519.6028614,117920132.47544008,129092123.49392596,0,0,0,0,1588082,1588082,1588082,1588082,0,0,0,0,1588082,1588082,1588082,1588082,27718.684971111918,26304.796071323955,14654.337620149709,40918.60705587368,85,85,85,85,68.45505150587408,65.94643513099736,43.496106022651645,112.25538606456857,99.61484057107509,96.19270620187729,63.359472045412595,163.02302901164745,65.94643513099736,153.88351099741695,65.94643513099736
"Second_[70,75)",71,"[70,75)",ReVac_RZV2,2024,0,0,0,0,2.751545241877373e-4,2.4056539930139564e-4,1.462584260072841e-4,4.8320952680871445e-4,5.034411304738423,4.892478714652734,3.537372071714899,7.58192476613103,-0.047655202304725565,-0.045831418863684394,-0.07207437738681717,-0.033380358093752976,-0.002003351152979875,-0.0017991632427753024,-0.003636448542378855,-0.0011651197469752955,-0.004111749887240299,-0.003991589228403444,-0.0063272554239966515,-0.0026907346676275897,-4.865311749991347e-7,-4.435603477432873e-7,-9.004451471479763e-7,-1.9919634722720126e-7,309.49426722954956,271.20228170230985,165.73732727104797,539.0019334696233,8932.298485364001,8125.76651555856,5722.450309699441,13870.958909704324,9241.792752593383,8417.032362028956,5889.069636835158,14398.432088193296,6993.785960969565,6585.8056432794465,4846.8499320138035,10113.217397555247,179.77463059332223,159.8574961014092,103.9540081854444,294.136791089084,7173.560591562744,6732.093617632985,4951.286402139999,10402.617218373343,-10240832.241297891,-9143727.660798373,-19134898.934766658,-5703331.928673282,-6191135.179420012,-5987601.060391217,-9387423.47727502,-4408541.617771286,-2601892.950896807,-2507724.1778911883,-3899401.298647103,-1679918.8735945637,-8793028.130316818,-8495325.238282405,-13286824.775922123,-6088460.491365846,-19033860.37161471,-17636531.83309718,-31662499.90616408,-11793905.800056566,0,0,0,0,269973940,269973940,269973940,269973940,269973940,269973940,269973940,269973940,250940079.62838528,252337408.16690284,238311440.0938359,258180034.19994342,-7310632.695500878,-6661908.331635823,-12496157.55434207,-4579451.115787547,-4920739.242453668,-4790448.532035988,-6958985.571765311,-3766089.572350905,-2044853.5399000342,-1996901.4376411312,-2858030.743775136,-1411789.3545519707,-6965592.782353703,-6772560.070011266,-9817016.315540448,-5177878.926902877,-14276225.47785458,-13497035.537572907,-21816783.62194776,-9757330.042690422,0,0,0,0,269973940,269973940,269973940,269973940,269973940,269973940,269973940,269973940,255697714.52214542,256476904.4624271,248157156.37805223,260216609.95730954,0,0,0,0,3176164,3176164,3176164,3176164,0,0,0,0,3176164,3176164,3176164,3176164,37563.502786334815,38101.035080513626,23917.0396847941,52589.038447054525,85,85,85,85,49.66602395503175,46.63365686274143,34.24982402844765,72.2897660164756,72.2516353767428,67.82933069328982,49.838711762645254,105.00741343749885,46.63365686274143,100.76261222021989,46.63365686274143
"Second_[70,75)",72,"[70,75)",ReVac_RZV1,2024,0,0,0,0,1.8256776122482776e-4,1.5333989714960694e-4,7.755530804272048e-5,3.673474424207956e-4,3.2646239371673893,3.1388300899394874,1.9755484002271866,5.599235812577536,-0.0308054528272803,-0.029520738157206843,-0.053131236545378706,-0.0189236144029009,-0.0013143072658982112,-0.0011388351893570686,-0.0027093460223483884,-6.361965507429669e-4,-0.002682342942913742,-0.002570420289498433,-0.004709961882902628,-0.0015494894595928657,-3.392417574425588e-7,-2.7343972793544297e-7,-7.524445152374536e-7,-9.649517958934719e-8,136.32273932779208,114.88746864162385,58.365777565445754,272.5042889086064,3877.0749855838603,3573.3772966962806,2223.134014676477,6887.861479134423,4013.397724911384,3676.3618764895946,2284.303728748113,7159.924555321829,3057.2312585183768,2979.6312726311317,1917.8360929130608,4995.310336276518,80.24837692407891,70.57001960650086,37.49721880843863,151.30656070727855,3137.479635442328,3052.258293089457,1959.9844986037351,5142.888428973034,-4500508.491739225,-3851611.2572868634,-9598011.211961508,-2057079.1272614584,-2674244.147997586,-2533924.217588394,-4613622.704118866,-1654280.144363551,-1133694.1363403727,-1068806.3081823331,-1937574.979454778,-655787.6348952441,-3807938.2843379593,-3602730.5257707275,-6551197.683573643,-2349254.416866853,-8308446.776077183,-7607764.089534149,-16095623.681937676,-4436415.8281839285,0,0,0,0,90385345,90385345,90385345,90385345,90385345,90385345,90385345,90385345,82076898.22392282,82777580.91046585,74289721.31806232,85948929.17181608,-3252583.6587588633,-2978496.1186340163,-6273462.8661707435,-1712615.023180313,-2138739.606545736,-2066554.5405009952,-3407640.2120381556,-1393143.5701128002,-898716.4463681161,-870807.7927337412,-1415145.817449972,-567597.4323414343,-3037456.052913852,-2937362.3332347367,-4813720.8797959145,-1993816.1198170814,-6290039.711672714,-6060314.549246965,-11070074.96228924,-3726571.0229145205,0,0,0,0,90385345,90385345,90385345,90385345,90385345,90385345,90385345,90385345,84095305.28832729,84325030.45075303,79315270.03771076,86658773.97708549,0,0,0,0,1063357,1063357,1063357,1063357,0,0,0,0,1063357,1063357,1063357,1063357,29478.579739734032,27704.88332990215,15455.045810344742,44208.44434219536,85,85,85,85,64.92610893662173,62.89015757973746,40.41138890743265,107.11679024103111,94.43153030914598,91.59414215960533,58.843434764127394,155.48143568910766,62.89015757973746,147.6113482287965,62.89015757973746
"Second_[70,75)",72,"[70,75)",ReVac_RZV2,2024,0,0,0,0,2.741373196013086e-4,2.4036359144474773e-4,1.4616741134059196e-4,4.7428046828708044e-4,4.817511976849441,4.696261795192363,3.375843895315975,7.253663138950499,-0.04551059042474586,-0.04391293835457896,-0.06869401807043071,-0.031829165813067745,-0.001983045013791491,-0.0018029030979281192,-0.003545901694471073,-0.0011576858429811847,-0.003966915148521818,-0.0038522981341488362,-0.006070537028902916,-0.0026114924646948442,-4.837382288333613e-7,-4.4306743751908416e-7,-8.830017259162216e-7,-1.988953583346219e-7,204.6436444127932,179.79890115000308,109.86843167305923,351.2500078250654,5736.106749161511,5231.889947494262,3669.267791097539,8882.967933768472,5940.750393574219,5441.3872176054865,3779.7358006493655,9228.298114154766,4497.5935394084045,4250.505389894226,3109.4503150091127,6519.546707718371,119.87309570098296,106.89006729610264,69.30061645866371,194.16646774499677,4617.466635109112,4349.150993730873,3179.080150603969,6712.048449366586,-6808571.072676497,-6156074.3738016365,-12515289.24433792,-3811195.334629044,-3945170.2576632956,-3828410.350498928,-5972487.609326277,-2803496.4168109912,-1676893.5196427503,-1618136.0252006776,-2499305.047822525,-1089265.3600187832,-5622063.777306046,-5446546.375699605,-8471792.657148803,-3892761.7768297754,-12430634.849982543,-11575205.28134604,-20559249.97692842,-7704979.406056884,0,0,0,0,180770690,180770690,180770690,180770690,180770690,180770690,180770690,180770690,168340055.15001744,169195484.71865395,160211440.0230716,173065710.59394312,-4886754.51959777,-4505121.267112506,-8246381.775138982,-3036298.138842262,-3138297.547358056,-3052144.9946663454,-4448242.706041986,-2391763.8266779114,-1321645.4089105416,-1297622.9842555942,-1840123.4510744128,-916954.8198006995,-4459942.956268597,-4331704.80075855,-6279576.097929446,-3312197.3639933085,-9346697.475866366,-8882934.191571848,-14239469.397477202,-6379716.423159882,0,0,0,0,180770690,180770690,180770690,180770690,180770690,180770690,180770690,180770690,171423992.52413362,171887755.80842817,166531220.60252282,174390973.5768401,0,0,0,0,2126714,2126714,2126714,2126714,0,0,0,0,2126714,2126714,2126714,2126714,39132.53211992862,39522.205639174426,24958.25264566591,54896.014140142914,85,85,85,85,47.8183856306248,45.077031545468415,32.8964399704141,69.53609397501077,69.53012794815838,65.52712964860251,47.84476001064503,101.00796840484911,45.077031545468415,97.18419595997496,45.077031545468415
"Second_[70,75)",73,"[70,75)",ReVac_RZV1,2024,0,0,0,0,1.787384439928097e-4,1.5111525806776882e-4,7.4907782121425e-5,3.592945923570845e-4,3.0505011013022894,2.927467373609142,1.808305954451327,5.290398434707337,-0.028699307924347592,-0.027471889362953944,-0.04991240828504756,-0.017229087271286907,-0.001278030875654771,-0.0011259629133306835,-0.0026327905508983294,-6.061355850683349e-4,-0.0025237179453157527,-0.002415275746657035,-0.004451319212833352,-0.0014339994202915035,-3.3269685918414326e-7,-2.703501905751911e-7,-7.306770322248139e-7,-9.26738773415981e-8,66.43865111013875,56.3558709602803,28.04941876530647,132.7175435425248,1825.5745390218906,1691.6230867264744,1027.123673640847,3267.5810659370345,1892.013190131774,1742.1567524163984,1056.3548699566395,3400.1259762734408,1437.8755478773014,1407.367125771997,877.3651421861848,2382.9424142639746,39.38606120767072,34.92907269811258,18.1267036201898,74.40142988753504,1477.2616090849508,1442.9777392270043,897.5468212684384,2455.772309632902,-2208971.131983584,-1907456.2500358825,-4689928.845879989,-996479.528345037,-1248046.2065923195,-1180539.8699442619,-2171718.9449246274,-749442.0937991671,-534868.9591342624,-504070.5886456382,-918233.5595466765,-308119.402249123,-1782915.1657265818,-1683800.4142154916,-3089952.504471304,-1075064.3109626686,-3991886.2977101663,-3690726.2012798805,-7772857.258572691,-2076061.7939758943,0,0,0,0,45452135,45452135,45452135,45452135,45452135,45452135,45452135,45452135,41460248.702289835,41761408.79872012,37679277.74142731,43376073.20602411,-1602008.8796427029,-1490916.9662593994,-3099840.6839419855,-823636.8140989966,-996397.1291593073,-964876.6776194812,-1611771.2220204277,-629927.4670985518,-424051.9060755837,-412190.70929170796,-671471.7013806552,-267044.8155340395,-1420449.0352348909,-1377067.3869111892,-2270848.353310262,-904505.3138426435,-3022457.9148775944,-2925618.208012047,-5362257.156296216,-1735394.8353133672,0,0,0,0,45452135,45452135,45452135,45452135,45452135,45452135,45452135,45452135,42429677.08512241,42526516.791987956,40089877.84370378,43716740.164686635,0,0,0,0,534731,534731,534731,534731,0,0,0,0,534731,534731,534731,534731,31793.025996706612,29552.17720408704,16441.960122135075,48693.35476621813,85,85,85,85,60.90481026268649,59.22380155171571,36.860017714263066,101.40852328674862,88.53106737298963,86.20891629589558,53.64503338136369,147.10915070788917,59.22380155171571,140.72674946123277,59.22380155171571
"Second_[70,75)",73,"[70,75)",ReVac_RZV2,2024,0,0,0,0,2.720468673384602e-4,2.3974190984787924e-4,1.4517863432437215e-4,4.643113888816774e-4,4.58323435178511,4.479218587185835,3.1969484020900474,6.913113961286131,-0.04315871360531588,-0.041758725075456804,-0.06509921412204826,-0.030049603393652292,-0.0019538957679920985,-0.001797359094048707,-0.0034481441373144877,-0.0011422366512188614,-0.0037957896552432754,-0.003686615487976011,-0.005783964153350174,-0.0025167908030081726,-4.790334145196906e-7,-4.4052001479680223e-7,-8.629995734708911e-7,-1.975537395486777e-7,101.11613525222056,89.30966953467578,54.31868407791481,171.2480774756288,2747.586432288294,2513.4001898079637,1749.6879652651971,4248.709833592768,2848.7025675402488,2620.8684771419503,1804.308838234539,4417.851508890464,2155.971146036746,2043.8899482977918,1482.8801391085453,3137.873082358203,59.721441599959505,53.53361337771639,34.46190318961162,95.94343948094175,2215.6925876365976,2093.5694792564027,1517.5084284060167,3233.624405430979,-3384544.6716538505,-3097345.335959062,-6130695.097292513,-1899766.1458536284,-1874549.0635279138,-1823958.335935015,-2837024.341130657,-1324863.1570941408,-804756.9101956189,-778206.5858432942,-1194400.8183285687,-526575.2517538343,-2679305.9737235326,-2602164.92177831,-4031425.159459226,-1851449.1995373354,-6063850.645377384,-5674190.928627193,-9985661.452774093,-3751543.447684488,0,0,0,0,90904270,90904270,90904270,90904270,90904270,90904270,90904270,90904270,84840419.35462262,85230079.0713728,80918608.547225893,87152726.5523155,-2441376.6231420985,-2276155.2840780066,-4074676.050049108,-1500684.617956989,-1491428.2378347777,-1448682.3390695932,-2124623.9842994777,-1126340.960136231,-635506.7907241344,-626799.9910717027,-882030.084819868,-444229.76596940635,-2126935.028558912,-2070833.3665509028,-2994358.41268685,-1575644.63838975,-4568311.651701011,-4372770.760694271,-6946850.491353274,-3092676.2261991333,0,0,0,0,90904270,90904270,90904270,90904270,90904270,90904270,90904270,90904270,86335958.34829898,86531499.23930573,83957419.50864673,87811593.77380086,0,0,0,0,1069462,1069462,1069462,1069462,0,0,0,0,1069462,1069462,1069462,1069462,41104.551945504805,41332.53861815267,26108.792636128004,57905.22610671146,85,85,85,85,45.70724663843406,43.24058297145885,31.285320619833143,66.61974504508382,66.42507099906209,62.8164957131589,45.47477689229552,96.8557366504983,43.24058297145885,92.77733566881645,43.24058297145885
"Second_[75,80)",70,"[75,80)",ReVac_RZV1,2024,0,0,0,0,2.4348696039497853e-4,2.3270005508102543e-4,1.5395864429028626e-4,3.7354144066164e-4,3.7428081329756795,3.6755035905855253,2.818934305826419,5.248811967376108,-0.04038904287397143,-0.04016364835999629,-0.056062363844619684,-0.030802507638617825,-0.0019993301695081923,-0.0019786767765942936,-0.0030713381733352267,-0.0013109174171300952,-0.0036315996044200237,-0.0036073904540629147,-0.005054256699545725,-0.0027325183314591828,-5.446209973401623e-7,-5.15120578260699e-7,-8.679732993378148e-7,-2.894491262988987e-7,461.892021766305,442.74129144102335,294.405646439828,704.8905548986979,11703.410613772707,11690.997202224306,8555.066718911687,16772.479070056153,12165.302635538392,12113.536459144205,8863.695993762836,17477.211004392055,9748.353300012031,9869.926550678258,7419.275943578468,13408.748935454865,297.2889020316303,288.57152542099357,198.17359680952507,441.22889434425156,10045.642202042789,10162.235565127805,7631.894438867737,13849.475625348929,-15682659.252176609,-15344392.875631003,-24649339.310946044,-10089083.303009141,-7836410.272628969,-7780375.906023051,-11012302.583286114,-5951589.305177996,-3446455.8891954455,-3367513.469916286,-4678848.388294527,-2624186.6978531675,-11282866.161824415,-11186721.389455533,-15622566.59307091,-8701508.165088564,-26965525.414001018,-26806781.733775005,-40198601.78614089,-18973471.081431,0,0,0,0,206005830,206005830,206005830,206005830,206005830,206005830,206005830,206005830,179040304.58599898,179199048.266225,165807228.21385908,187032358.91856897,-12307481.227149274,-12144625.914345976,-17887988.52479617,-8366845.224738877,-6592333.6656988505,-6497867.421840007,-8914008.176710412,-5153797.74966789,-2893377.467033606,-2797525.4851566227,-3707036.3893337026,-2286148.0464950344,-9485711.132732457,-9348172.187079381,-12621044.566044115,-7516184.577920133,-21793192.35988173,-21161198.115141533,-30187595.522528403,-15973375.494365804,0,0,0,0,206005830,206005830,206005830,206005830,206005830,206005830,206005830,206005830,184212637.64011827,184844631.88485846,175818234.4774716,190032454.5056342,0,0,0,0,2423598,2423598,2423598,2423598,0,0,0,0,2423598,2423598,2423598,2423598,18993.035041322397,18088.284966849787,12789.344379408984,24877.360579274362,85,85,85,85,91.8906668518201,93.02152836598938,69.64285954530031,126.28648622052194,133.3399591933833,134.9518962121743,101.1327949177001,183.43076355260808,93.02152836598938,168.52501508454785,93.02152836598938
"Second_[75,80)",70,"[75,80)",ReVac_RZV2,2024,0,0,0,0,3.29325910198186e-4,3.170657220836759e-4,2.2057969866251526e-4,4.677191285179294e-4,4.943214093642587,4.88952089520751,3.9469632041840863,6.477524903219393,-0.053326932800388915,-0.052385597060175135,-0.06916432855159974,-0.04325704218294332,-0.0027133189476621707,-0.0026384129513429247,-0.003865454720551843,-0.0018821400556954032,-0.004798248856243076,-0.004782363532732398,-0.0062299705164715995,-0.0038322791599506214,-6.985711328347013e-7,-6.837574370458319e-7,-1.0157010518249698e-6,-4.181166423695067e-7,623.8144489102066,602.2652877178043,420.66184905264527,880.2039271198213,15496.900636866532,14875.539445136952,11677.281868223563,20718.590293268557,16120.715085776337,15438.063864458352,12116.59197779186,21594.27200749572,12782.966238254667,12704.850978666444,10085.33677489439,16480.299496608728,398.3358680596575,390.7473969832063,279.9765955597162,546.6276031011715,13181.302106314524,13064.698283748701,10377.669072413912,17025.69888280574,-21366139.43282389,-20814345.496570587,-30951490.026968617,-14594763.201431537,-10329718.96217465,-10061202.71627477,-13575898.958331972,-8386739.46483301,-4550927.851320041,-4453298.956475735,-5768338.9471658915,-3594842.5621127547,-14880646.81349469,-14491888.439237833,-19259549.865718797,-12059889.73476544,-36246786.24631858,-36142437.78306575,-49521171.10861731,-26856829.66396088,0,0,0,0,412011660,412011660,412011660,412011660,412011660,412011660,412011660,412011660,375764873.7536814,375869222.21693426,362490488.8913827,385154830.3360391,-16566490.592087567,-16481598.995235944,-22615656.21710436,-11842027.531324958,-8609475.260415489,-8588735.281751977,-10938922.051930234,-7187926.517304356,-3785521.023964916,-3723038.2095119986,-4645481.424999695,-3110576.2080668923,-12394996.284380404,-12388922.466697406,-15487303.655520177,-10408899.689790606,-28961486.876467973,-29115238.881627277,-37216683.02269125,-22338015.5271975,0,0,0,0,412011660,412011660,412011660,412011660,412011660,412011660,412011660,412011660,383050173.123532,382896421.1183727,374794976.97730875,389673644.4728024,0,0,0,0,4847196,4847196,4847196,4847196,0,0,0,0,4847196,4847196,4847196,4847196,29721.437400083447,29296.992592077964,22103.56874442876,37417.59168401222,85,85,85,85,60.36222364491935,59.99802333747084,47.62472065589789,77.67098097916066,87.55588799501892,86.89582438383918,69.12901360037789,112.79582198580809,59.99802333747084,104.71546865870124,59.99802333747084
