Scenario,Agp0,Arm,Year0,ICER_A,ICER25_A,ICER50_A,ICER75_A,ICER100_A,ICER_Thres_A,ICER_M,ICER25_M,ICER50_M,ICER75_M,ICER100_M,ICER_Thres_M,ICER_L,ICER25_L,ICER50_L,ICER75_L,ICER100_L,ICER_Thres_L,ICER_U,ICER25_U,ICER50_U,ICER75_U,ICER100_U,ICER_Thres_U
"Vac[60,65)","[60,65)",Vac_1d,2024,12647.26226214559,2807.4308982654225,6907.360633215493,11007.290368165563,15107.220103115633,20000,11844.215974046387,2658.714608562508,6454.136027967517,10288.698459535568,14150.419240358131,20000,5387.100869848855,712.8872120338901,2689.2922457547893,4611.237336649566,6542.801969215806,19999.999999999996,24547.849172566242,5834.901913850245,13633.768920796083,21456.643994402042,29184.656939812543,20000.000000000004
"Vac[60,65)","[60,65)",Vac_2d,2024,20241.352367403422,5019.937846997792,11362.193897166804,17704.449947335816,24046.70599750483,20000,19090.702149959026,4740.697490888258,10737.172776799129,16704.81931394923,22672.4609055518,20000,9554.939829687513,1982.863418901062,5121.403795646141,8278.190563370574,11454.619159091773,19999.999999999996,39027.045856114804,10085.250150079284,22263.698845585342,34237.963710205506,46201.66228345719,20000.000000000004
"Vac[65,70)","[65,70)",Vac_1d,2024,11249.722637574438,2271.255492729705,6012.283469748344,9753.311446766982,13494.339423785621,20000,10488.337787648139,2125.0631665564997,5613.099115483386,9091.050497422006,12605.721684857606,20000,5191.568052954844,583.6999861214631,2526.598884544228,4430.168596110641,6332.7331624615545,19999.999999999996,21644.824410777284,4699.3535603023465,11570.435562903971,18721.41969674087,25878.315045108367,20000.000000000004
"Vac[65,70)","[65,70)",Vac_2d,2024,18397.387419066377,4348.1777399308785,10202.015106237335,16055.852472543793,21909.68983885025,20000,17345.272886593033,4090.309254352762,9599.327463637714,15137.96632035164,20632.188152994786,20000,9331.93096150293,1851.5142060003138,4962.196441506794,8094.352309087202,11203.284816352558,19999.999999999996,33857.16596005558,8428.24257882692,19198.730229807607,29689.330638399617,40108.91894253951,20000.000000000004
"Vac[70,75)","[70,75)",Vac_1d,2024,10460.60163110253,1844.501645014081,5434.543305884268,9024.584966754455,12614.626627624642,20000,9748.638206317977,1715.8623174728357,5068.414315817892,8415.969322549336,11758.256691123472,20000,5339.964381382644,495.2126847972532,2546.9892923901507,4546.124925777118,6539.417242115233,19999.999999999996,19522.126219793674,3827.947807959414,10443.045070334569,16980.255683102372,23333.499875714282,20000.000000000004
"Vac[70,75)","[70,75)",Vac_2d,2024,17586.497666512954,3912.7018753958523,9610.11678836131,15307.53170132677,21004.94661429223,20000,16443.13187354509,3668.7456276245784,9015.747900408074,14300.13540698433,19668.303827453194,20000,9851.777313223549,1857.0662105892977,5193.755498610569,8526.903636293242,11837.83158594092,19999.999999999996,31247.879023331334,7290.63579096544,17197.969446267365,27222.38837132707,37275.85619590093,20000.000000000004
"Vac[75,80)","[75,80)",Vac_1d,2024,10443.559083733671,1567.5665539577167,5265.896774697698,8964.226995437679,12662.55721617766,20000,9749.099574216576,1440.605871112309,4911.003524073285,8346.862334073128,11846.260464731857,20000,5609.148036924676,434.21009595571064,2604.6093899165335,4720.631594513759,6896.679812022695,19999.999999999996,18483.671351038734,3238.8009265283695,9837.816782168571,16006.593610905005,22512.814835918223,20000.000000000004
"Vac[75,80)","[75,80)",Vac_2d,2024,18085.396635685756,3789.1967813812403,9745.946720674789,15702.696659968336,21659.446599261886,20000,17082.063796434653,3517.2263448341455,9153.5169640569,14794.961817562478,20442.30707167846,20000,10576.879479180137,1968.6512328722297,5557.73138319417,9142.465921755265,12735.338437607748,19999.999999999996,31380.803947526125,7003.390493584813,17110.532548179825,27190.444890363065,37683.65047340717,20000.000000000004
"Vac[80,85)","[80,85)",Vac_1d,2024,11541.91248717854,1514.7433338385276,5692.730481063532,9870.717628288538,14048.704775513543,20000,10779.61559970626,1386.4714201820864,5343.356663653276,9216.90735436351,13126.419897276755,20000,6484.725970973805,429.389015731646,3024.9718457954864,5485.448486548646,7967.359313602672,19999.999999999996,20333.820090328703,3229.9439028885076,10523.381909558491,17532.343582140027,24540.27371861838,20000.000000000004
"Vac[80,85)","[80,85)",Vac_2d,2024,20544.7235616269,4142.959120801596,10977.027637812138,17811.09615482268,24645.164671833223,20000,19378.913722557263,3880.479645461005,10300.851827509901,16795.40970068772,23223.847775179645,20000,12423.9808290106,2300.8193200620794,6471.236889319029,10719.755892214618,14902.480219641348,19999.999999999996,34079.37935520392,7262.7246300248535,18561.446256061074,29681.94620302372,40687.183635329115,20000.000000000004
"Vac[85,90)","[85,90)",Vac_1d,2024,14305.957244622437,1898.577121610483,7068.318839532131,12238.060557453779,17407.802275375427,20000,13393.28722904014,1734.8229027658567,6606.647003609186,11442.602818698278,16265.496542485544,20000,8103.820359275544,542.4201600267986,3756.3964432690227,6858.46312704715,9969.357423898924,19999.999999999996,25719.83669439925,4468.155973817232,13206.99808869399,22170.616309009187,30980.82911426982,20000.000000000004
