Scenario,Age0,Age1,Arm,Year0,ICER_A,ICER25_A,ICER50_A,ICER75_A,ICER100_A,ICER_Thres_A,ICER_M,ICER25_M,ICER50_M,ICER75_M,ICER100_M,ICER_Thres_M,ICER_L,ICER25_L,ICER50_L,ICER75_L,ICER100_L,ICER_Thres_L,ICER_U,ICER25_U,ICER50_U,ICER75_U,ICER100_U,ICER_Thres_U
Overall,70,80,ReVac_RZV_1d,2024,20386.330995422362,107.75742049755354,2118.818604966815,4129.879789436077,6140.940973905339,20000,19288.04567077671,96.9501441033261,1997.6230500735876,3906.2259136341536,5820.2424276096535,20000,12726.528639960528,-279.67979371831564,1162.6893506241015,2440.0546624738795,3695.2163619801063,19999.999999999996,34068.768239249104,528.2424727190241,3652.5349443524333,6966.882639600525,10388.003925249028,20000.000000000004
Overall,70,80,ReVac_RZV_2d,2024,24246.213935555363,1644.6072825391577,5265.638620004147,8886.669957469137,12507.701294934126,20000,22891.48843381473,1557.2938929962802,4971.143960197309,8400.341691196638,11809.259959618943,20000,15295.973803772871,897.7315857898873,3219.291889776881,5500.397025625039,7778.653976909815,19999.999999999996,40045.42860755575,2843.3029693399744,8883.142082695924,14845.830059921873,20900.33599523504,20000.000000000004
Overall,70,81,ReVac_RZV_1d,2024,20642.69752265861,6.649030621318146,1939.8636273623072,3873.078224103296,5806.292820844285,20000,19580.052029116407,-1.2529701306599685,1831.2933906106455,3653.137239068792,5477.697423367122,20000,12873.393089209349,-350.05830944662677,1073.0079673710964,2297.5940051313246,3530.7127930459897,19999.999999999996,34077.02937119152,397.6915347163574,3406.470444149345,6588.646048760209,9833.991644823425,20000.000000000004
Overall,70,81,ReVac_RZV_2d,2024,24466.702436541418,1510.2659826806375,5021.908117487316,8533.550252293995,12045.192387100675,20000,23096.70605664848,1426.3604675627262,4741.712981373623,8063.17446383844,11379.80561038228,20000,15425.57186734042,836.8608127108441,3070.4793893147885,5293.593154666029,7513.6812562675495,19999.999999999996,40174.47261096336,2615.218328932843,8382.972495414366,14127.073952578829,19880.58171035214,20000.000000000004
Overall,70,82,ReVac_RZV_1d,2024,20974.588355050797,-88.24867850505113,1766.6025226061936,3621.453723717438,5476.304924828683,20000,19895.43402597293,-90.31570554757157,1661.8503084176996,3415.0695865553,5187.06280054801,20000,13077.256144457682,-451.43431397830307,984.8685398981019,2169.1675436253113,3341.423745483384,20000,34767.735738690084,281.75945596592237,3116.6824944730843,6197.881786763618,9272.267003406354,20000.000000000004
Overall,70,82,ReVac_RZV_2d,2024,24754.820540905184,1379.6770601866226,4778.328584225457,8176.980108264292,11575.631632303126,20000,23424.889364928837,1298.5229807705493,4509.7028445177075,7731.493428524643,10935.67248170877,20000,15634.51769263653,758.5593751246872,2916.831895664466,5096.179296755029,7215.634010307375,20000,40601.8280447356,2428.1312802960615,7983.29281354178,13462.185953487528,19083.420315650936,20000.000000000004
Overall,70,83,ReVac_RZV_1d,2024,21364.050862833017,-180.26220264075258,1593.1648411878148,3366.5918850163825,5140.01892884495,20000,20251.31658849481,-177.06235467885932,1500.706373367469,3189.5826941151236,4871.686962185206,20000,13403.587883472406,-552.1734451594851,874.9976255935472,2018.8870876497956,3133.340537849692,19999.999999999996,35455.208518275904,151.7936587695471,2791.025201852556,5836.608899309939,8672.20141647681,20000.000000000004
Overall,70,83,ReVac_RZV_2d,2024,25087.955281787115,1247.4052648062002,4524.81570263284,7802.226140459479,11079.63657828612,20000,23678.70394536634,1175.0763009706554,4266.097394910983,7385.634053016402,10487.213760182307,20000,15934.106739579764,672.2688634161304,2774.3810915255226,4885.127484292707,6948.096220607057,19999.999999999996,41379.01870650374,2192.47881080563,7613.675715008622,12846.631280217225,18223.687640206193,20000.000000000004
Overall,70,84,ReVac_RZV_1d,2024,21798.300799863464,-270.23702887193775,1416.6292547938824,3103.4955384597024,4790.361822125523,20000,20650.137791304274,-259.94075646826786,1334.5319715554097,2931.458247010635,4533.419824989238,20000,13759.560850466716,-679.0274834133965,754.6447703829166,1854.3570244225184,2919.4692524574757,19999.999999999996,36150.96217381216,44.01899225849056,2498.839265270711,5375.856784853898,8087.108613656804,20000.000000000004
Overall,70,84,ReVac_RZV_2d,2024,25448.69076623668,1110.8433492401257,4254.747147276684,7398.650945313241,10542.5547433498,20000,24077.746652249087,1045.612374062497,4019.2319611406338,6988.98895450632,9974.236017312796,20000,16295.154901776481,576.817445794949,2612.887654665719,4650.474434834974,6681.876123596853,19999.999999999996,42163.11503658576,1986.7510431212718,7176.8988904662565,12336.386502608939,17415.712153091452,20000.000000000004
Overall,70,85,ReVac_RZV_1d,2024,22262.51560974125,-357.3121493644393,1236.0700139652147,2829.4521772948683,4422.834340624522,20000,21128.139944929222,-342.5714102357597,1169.890009842979,2674.8419725618714,4178.149674034322,20000,14095.506174508444,-777.5159774395954,644.2365543703073,1672.5787820543344,2715.1086244982744,19999.999999999996,36988.81834338446,-55.53515040558827,2238.0678245880727,4848.510458427998,7506.845107511775,20000.000000000004
Overall,70,85,ReVac_RZV_2d,2024,25816.40843349351,969.2206780577847,3963.559531308621,6957.898384559457,9952.237237810294,20000,24437.84771616193,916.9459210914653,3734.311872580765,6574.601253292789,9418.012729171645,20000,16433.882547489644,491.15159662053884,2443.5916406000497,4370.886525947099,6257.464205750191,19999.999999999996,42936.66936893277,1774.7363021745805,6734.689176354222,11586.521737234956,16563.633105550733,20000.000000000004
Overall,70,86,ReVac_RZV_1d,2024,22746.784704646765,-442.78569813343506,1049.4492683620797,2541.684234857594,4033.9192013531087,20000,21521.87556378993,-424.15696494779195,990.5553771608118,2403.667673326797,3804.120025439169,20000,14299.525485678261,-893.7911265164614,527.7824223958731,1513.8331049987528,2456.6710128154887,19999.999999999996,37968.192418649734,-134.51696522906758,1933.2362794441776,4357.333075766882,6801.342827290728,20000.000000000004
Overall,70,86,ReVac_RZV_2d,2024,26178.487061952812,820.2577951644122,3647.2369421776275,6474.216089190843,9301.19523620406,20000,24767.425008155114,773.865136763735,3429.1183387436745,6111.483126128866,8768.990812348995,20000,16631.319552721056,393.0099587398314,2251.766995793848,4061.6480095996358,5853.755453803897,19999.999999999996,43747.12034843448,1555.0776858919291,6169.871349055845,10868.521832735009,15510.021766636979,20000.000000000004
Overall,70,87,ReVac_RZV_1d,2024,23225.398361921576,-528.5464251069338,853.9424626650668,2236.4313504370675,3618.920238209068,20000,21931.231927622,-499.6215402908663,806.2115714237134,2120.7039293542302,3423.9649754968086,20000,14570.886661574072,-1003.5752502131493,391.00499019335786,1327.3613747411018,2204.943755593436,19999.999999999996,38963.00068600557,-226.55093903370832,1634.3100908237589,3816.1324956121384,6120.874241088728,20000.000000000004
Overall,70,87,ReVac_RZV_2d,2024,26503.616193235994,660.6031443989976,3300.067282814014,5939.5314212290305,8578.995559644047,20000,24988.806870049375,619.0940223842548,3106.2027150303525,5599.223835855662,8088.959122143547,20000,16824.221615616385,281.48873538622087,2030.405658336866,3727.483489461197,5386.738692035253,19999.999999999996,44184.215444514506,1327.157182914255,5585.473917728881,9968.480021678311,14370.58294055272,20000.000000000004
Overall,70,88,ReVac_RZV_1d,2024,23686.352353973736,-612.364118861512,652.250559251073,1916.865237363658,3181.479915476243,20000,22354.359554260885,-574.1425944060059,607.901965578239,1809.2921754285794,2996.1539549554477,20000,14937.981679956429,-1157.5938231373284,243.2665613629531,1106.5839226362662,1945.0622285275654,19999.999999999996,39568.29546933984,-292.848800017594,1289.5629623934726,3347.838768320953,5380.54597488361,20000.000000000004
Overall,70,88,ReVac_RZV_2d,2024,26778.780127584065,492.7498783073178,2925.0285902295836,5357.307302151849,7789.586014074115,20000,25269.624166782392,457.60171300242826,2756.2086081027865,5053.618151647923,7359.575046961865,20000,16933.468107726298,150.50520080155863,1801.2646296463822,3338.5090002680354,4909.174454032318,19999.999999999996,44644.49229320832,1028.939115920553,4952.917131966586,8908.489619875885,13006.016960389554,20000.000000000004
Overall,70,89,ReVac_RZV_1d,2024,24110.366791495006,-697.4675921800862,442.47207383842147,1582.411739856929,2722.3514058754367,20000,22735.811430386035,-658.21759136184,405.81406369155434,1489.38935288719,2566.6741296836744,20000,15207.916827904091,-1271.1707810449027,95.65038146296578,887.9098374990061,1649.6432025313238,19999.999999999996,40750.451160638964,-367.93238955475925,965.4483297622695,2717.9206150420932,4647.033899198642,20000.000000000004
Overall,70,89,ReVac_RZV_2d,2024,26984.670525805224,313.9883256127207,2521.6060536393024,4729.2237816658835,6936.8415096924655,20000,25517.488515484234,285.2529108574444,2373.2345418667496,4451.819427420032,6546.816619286497,20000,17038.14648928081,15.025328033229062,1537.9942590651947,2970.211062470089,4363.791285576543,19999.999999999996,45096.18301970376,752.1486205460545,4328.633457519067,7874.54847048359,11551.062515446274,20000.000000000004
Overall,70,90,ReVac_RZV_1d,2024,24485.885550749485,-781.8953997840727,228.69387948626456,1239.2831587566018,2249.872438026939,20000,23100.364728603738,-733.1176197752484,204.00881679611382,1167.596182477419,2119.1300902602766,20000,15420.448318403285,-1391.5042928926985,-88.51389069199446,649.5495999563475,1325.073315561057,19999.999999999996,41194.18311468228,-446.0268111848544,651.9133741250495,2166.4463130263766,3828.260287355994,20000.000000000004
Overall,70,90,ReVac_RZV_2d,2024,27112.35226317134,128.01401441184484,2097.4568944949406,4066.8997745780366,6036.342654661133,20000,25578.670617464264,114.75667160277877,1972.3058381327055,3822.4899496867265,5674.267995238946,20000,17113.332034643532,-170.41923534513214,1237.0930007604475,2512.6915205414753,3797.3708739189788,19999.999999999996,45532.3062420267,491.42326077132947,3583.9801147694156,6798.437656399539,10108.166580055544,20000.000000000004
Overall,70,91,ReVac_RZV_1d,2024,24792.558440480854,-865.8569587687923,13.177697136977335,892.2123530427469,1771.2470089485166,20000,23365.20280053542,-812.7457300403371,1.953380421319991,842.2549747079242,1673.144201972654,20000,15647.449958668387,-1539.449056397053,-319.7465420706992,425.35723376272546,1016.0532860423831,19999.999999999996,41744.17021642795,-515.9898885376639,357.17515264662836,1630.3083971955587,3076.1925084383365,20000.000000000004
Overall,70,91,ReVac_RZV_2d,2024,27144.89670648508,-63.35755145353117,1659.2665937883598,3381.890739030251,5104.514884272142,20000,25551.1229188916,-65.35531438037191,1563.345430800587,3184.0404041962256,4800.406083739732,20000,17137.973635006954,-380.7800998941744,960.4051305976269,2049.755675774982,3151.3920311985416,19999.999999999996,45619.41041930479,261.70750800221185,2895.7923423590228,5722.866173179758,8622.651193270394,20000.000000000004
Overall,70,92,ReVac_RZV_1d,2024,25027.88570334559,-949.282173665831,-200.35103093633916,548.5801117931527,1297.5112545226445,20000,23573.019769848757,-893.8648988514724,-194.64227036009427,502.9334154383281,1219.8454702001436,20000,15838.450956889785,-1657.0356578440374,-582.3255835079891,178.5221522988562,699.6712341462363,19999.999999999996,42299.80197492381,-581.5711760850089,87.7215935194217,1096.0181282210544,2313.5751640377425,20000.000000000004
