Scenario,Agp0,Arm,Year0,N0,Index,A,M,L,U
"Vac[60,65)","[60,65)",SOC,2024,1,Year_Life,23.261572807776155,23.261588928053733,23.261447378304027,23.2616430754532
"Vac[60,65)","[60,65)",SOC,2024,1,Year_Immunised,0,0,0,0
"Vac[60,65)","[60,65)",SOC,2024,1,Risk_HZ,0.18851241762349455,0.1883256563187488,0.18620118622529694,0.19087229958258073
"Vac[60,65)","[60,65)",SOC,2024,1,Risk_Hosp,0.006293318211578692,0.006220713466562255,0.0058560366583506815,0.007078162797152387
"Vac[60,65)","[60,65)",SOC,2024,1,Risk_PHN,0.013659701746989068,0.013633317542970516,0.013056934766222467,0.014291741202367758
"Vac[60,65)","[60,65)",SOC,2024,1,Risk_Death,1.1084651879437257e-6,1.0708825767048092e-6,1.0279240929854094e-6,1.3097324555864626e-6
"Vac[60,65)","[60,65)",SOC,2024,1,Q_Life,63575949.85519522,63575987.39694726,63575643.35044198,63576123.815825224
"Vac[60,65)","[60,65)",SOC,2024,1,Q_HZ,-74281.88748380885,-74198.77934359957,-79509.49755051133,-68775.13245521572
"Vac[60,65)","[60,65)",SOC,2024,1,Q_All,63501667.967711404,63501917.225977525,63496153.12148671,63507155.50848466
"Vac[60,65)","[60,65)",SOC,2024,1,Q_HZ_d,-46435.29325665064,-46439.815430444316,-49581.25388825603,-42906.248946115316
"Vac[60,65)","[60,65)",SOC,2024,1,Q_Life_d,42745827.61106648,42745840.70701374,42745695.43949939,42745904.85414607
"Vac[60,65)","[60,65)",SOC,2024,1,Q_All_d,42699392.317809835,42699461.643813305,42696127.10744748,42702916.906504005
"Vac[60,65)","[60,65)",SOC,2024,1,C_Hosp,72102112.19471733,71349225.80101198,66811774.826336995,81412955.2090022
"Vac[60,65)","[60,65)",SOC,2024,1,C_GP_NonPHN,56714334.0138178,56594937.27439295,55915922.45586386,57597779.21056494
"Vac[60,65)","[60,65)",SOC,2024,1,C_GP_PHN,19613776.406681545,19575744.664165743,18239695.65486267,21454660.753745597
"Vac[60,65)","[60,65)",SOC,2024,1,C_GP,76328110.42049934,76247050.31450361,74813448.95655748,78420147.02145314
"Vac[60,65)","[60,65)",SOC,2024,1,C_Med,148430222.61521667,147187131.570727,142525794.49286464,156928423.71838266
"Vac[60,65)","[60,65)",SOC,2024,1,C_VacZVL,0,0,0,0
"Vac[60,65)","[60,65)",SOC,2024,1,C_VacRZV,0,0,0,0
"Vac[60,65)","[60,65)",SOC,2024,1,C_Vac,0,0,0,0
"Vac[60,65)","[60,65)",SOC,2024,1,C_All,148430222.61521667,147187131.570727,142525794.49286464,156928423.71838266
"Vac[60,65)","[60,65)",SOC,2024,1,C_Hosp_d,35710483.877660565,35228783.662373334,33319075.796012074,39953620.91111779
"Vac[60,65)","[60,65)",SOC,2024,1,C_GP_NonPHN_d,36977303.46783173,36906504.54367706,36465612.233671606,37583444.752091795
"Vac[60,65)","[60,65)",SOC,2024,1,C_GP_PHN_d,11839172.565111892,11827922.25157588,11003432.437773474,12905101.26931464
"Vac[60,65)","[60,65)",SOC,2024,1,C_GP_d,48816476.03294363,48712206.67271502,47924612.43245697,50014690.26682586
"Vac[60,65)","[60,65)",SOC,2024,1,C_Med_d,84526959.9106042,83984293.54211393,81767915.76110707,88403001.61003937
"Vac[60,65)","[60,65)",SOC,2024,1,C_VacZVL_d,0,0,0,0
"Vac[60,65)","[60,65)",SOC,2024,1,C_VacRZV_d,0,0,0,0
"Vac[60,65)","[60,65)",SOC,2024,1,C_Vac_d,0,0,0,0
"Vac[60,65)","[60,65)",SOC,2024,1,C_All_d,84526959.9106042,83984293.54211393,81767915.76110707,88403001.61003937
"Vac[60,65)","[60,65)",SOC,2024,1,N_VacZVL,0,0,0,0
"Vac[60,65)","[60,65)",SOC,2024,1,N_VacRZV,0,0,0,0
"Vac[60,65)","[60,65)",SOC,2024,1,N_VacZVL_d,0,0,0,0
"Vac[60,65)","[60,65)",SOC,2024,1,N_VacRZV_d,0,0,0,0
"Vac[60,65)","[60,65)",Vac,2024,1,Year_Life,23.261776864713475,23.261757091800355,23.261587154672085,23.262146961711267
"Vac[60,65)","[60,65)",Vac,2024,1,Year_Immunised,9.887930649535845,8.56889281968493,7.519200426809531,16.218222272403985
"Vac[60,65)","[60,65)",Vac,2024,1,Risk_HZ,0.11512383987813396,0.1262666797018086,0.0581740930284394,0.13512880984099818
"Vac[60,65)","[60,65)",Vac,2024,1,Risk_Hosp,0.004809584616674116,0.005022098999077968,0.002204599230990826,0.006179249546889524
"Vac[60,65)","[60,65)",Vac,2024,1,Risk_PHN,0.009148837167660507,0.010299608524123812,0.004345151040362423,0.010675211342703616
"Vac[60,65)","[60,65)",Vac,2024,1,Risk_Death,8.125615823770002e-7,8.743139118550844e-7,1.851325308857621e-7,1.1366399097571743e-6
"Vac[60,65)","[60,65)",Vac,2024,1,Q_Life,63576456.76379446,63576409.04070888,63575993.65825362,63577360.719384596
"Vac[60,65)","[60,65)",Vac,2024,1,Q_HZ,-47019.54664044771,-50041.95960536823,-57620.459250726846,-23963.914781946653
"Vac[60,65)","[60,65)",Vac,2024,1,Q_All,63529437.217154,63526318.67633036,63518398.16381197,63553396.804602645
"Vac[60,65)","[60,65)",Vac,2024,1,Q_HZ_d,-26331.537104506613,-27946.357185064524,-31975.71954781316,-14356.848020043675
"Vac[60,65)","[60,65)",Vac,2024,1,Q_Life_d,42746061.11607105,42746042.906423286,42745881.34020903,42746408.64460558
"Vac[60,65)","[60,65)",Vac,2024,1,Q_All_d,42719729.57896654,42718021.99158557,42713905.620661214,42732051.79658554
"Vac[60,65)","[60,65)",Vac,2024,1,C_Hosp,56290050.530444756,59031723.52371816,25510166.50051172,72558706.75012048
"Vac[60,65)","[60,65)",Vac,2024,1,C_GP_NonPHN,34051040.26488507,37156621.47929013,17488398.010492377,40267599.488594905
"Vac[60,65)","[60,65)",Vac,2024,1,C_GP_PHN,13007529.409070171,14363532.086410612,6231762.193534927,14764919.85072906
"Vac[60,65)","[60,65)",Vac,2024,1,C_GP,47058569.67395524,51791727.08638547,23720160.204027303,54671364.4013802
"Vac[60,65)","[60,65)",Vac,2024,1,C_Med,103348620.20439999,110683139.76924556,49230326.70453902,124788354.7540942
"Vac[60,65)","[60,65)",Vac,2024,1,C_VacZVL,0,0,0,0
"Vac[60,65)","[60,65)",Vac,2024,1,C_VacRZV,599682650,599682650,599682650,599682650
"Vac[60,65)","[60,65)",Vac,2024,1,C_Vac,599682650,599682650,599682650,599682650
"Vac[60,65)","[60,65)",Vac,2024,1,C_All,703031270.2044,710365789.7692456,648912976.704539,724471004.7540941
"Vac[60,65)","[60,65)",Vac,2024,1,C_Hosp_d,26295383.60537982,27560711.78026105,12265137.971161418,33658124.59168325
"Vac[60,65)","[60,65)",Vac,2024,1,C_GP_NonPHN_d,19772929.174910195,21474930.859826595,10913037.431272198,23327531.94147045
"Vac[60,65)","[60,65)",Vac,2024,1,C_GP_PHN_d,7158344.336648442,7872627.871621015,3611877.4221815644,8141765.480961608
"Vac[60,65)","[60,65)",Vac,2024,1,C_GP_d,26931273.511558637,29309000.12479392,14524914.85345376,31265060.93535119
"Vac[60,65)","[60,65)",Vac,2024,1,C_Med_d,53226657.11693846,57223996.29945193,26790052.82461518,63343264.92718248
"Vac[60,65)","[60,65)",Vac,2024,1,C_VacZVL_d,0,0,0,0
"Vac[60,65)","[60,65)",Vac,2024,1,C_VacRZV_d,599682650,599682650,599682650,599682650
"Vac[60,65)","[60,65)",Vac,2024,1,C_Vac_d,599682650,599682650,599682650,599682650
"Vac[60,65)","[60,65)",Vac,2024,1,C_All_d,652909307.1169385,656906646.299452,626472702.8246152,663025914.9271824
"Vac[60,65)","[60,65)",Vac,2024,1,N_VacZVL,0,0,0,0
"Vac[60,65)","[60,65)",Vac,2024,1,N_VacRZV,7055090,7055090,7055090,7055090
"Vac[60,65)","[60,65)",Vac,2024,1,N_VacZVL_d,0,0,0,0
"Vac[60,65)","[60,65)",Vac,2024,1,N_VacRZV_d,7055090,7055090,7055090,7055090
"Vac[60,65)","[60,65)",Vac1,2024,1,Year_Life,23.26172344171658,23.261711845645657,23.261544225464352,23.262050079227585
"Vac[60,65)","[60,65)",Vac1,2024,1,Year_Immunised,7.740503440890112,6.792470146438969,5.832582619895653,13.418121145197961
