Scenario,Arm,Year0,Age0,Age1,Index,A,M,L,U
"Second_[70,75)",Vac,2024,70,NA,N0,1,1,1,1
"Second_[70,75)",Vac,2024,70,NA,Year_Life,14.27558859941639,14.275590343344486,14.275489466899582,14.275683716596026
"Second_[70,75)",Vac,2024,70,NA,Year_Immunised,2.639788799677417,2.6520659495709875,2.067790766004691,3.3418692740114473
"Second_[70,75)",Vac,2024,70,NA,Risk_HZ,0.1111260846935453,0.11111752860038657,0.10398491387860453,0.11761940092543079
"Second_[70,75)",Vac,2024,70,NA,Risk_Hosp,0.0057606576051764105,0.005763441128598159,0.004884130967756415,0.006722963400300486
"Second_[70,75)",Vac,2024,70,NA,Risk_PHN,0.009492812158016254,0.009485931100532922,0.008641741273788042,0.010401984761724154
"Second_[70,75)",Vac,2024,70,NA,Risk_Death,1.010477700652896e-6,1.007772464085435e-6,8.402845090454478e-7,1.189092672578747e-6
"Second_[70,75)",Vac,2024,70,NA,Q_Life,23527317.885342047,23527321.015057825,23527171.76543791,23527458.80429142
"Second_[70,75)",Vac,2024,70,NA,Q_HZ,-28237.673630515048,-28190.138916937976,-32073.041074796467,-24208.563675757225
"Second_[70,75)",Vac,2024,70,NA,Q_All,23499080.211711533,23499126.81737881,23495158.550262354,23503071.627796534
"Second_[70,75)",Vac,2024,70,NA,Q_HZ_d,-20452.51779462315,-20431.342742873803,-23267.2325707216,-17590.80540925833
"Second_[70,75)",Vac,2024,70,NA,Q_Life_d,17788461.14358034,17788462.60479504,17788381.676804624,17788537.375337705
"Second_[70,75)",Vac,2024,70,NA,Q_All_d,17768008.625785716,17768035.56475567,17765169.92790726,17770865.9652872
"Second_[70,75)",Vac,2024,70,NA,C_Hosp,40280589.0226498,40271251.675610125,34265384.159401715,47111897.34175519
"Second_[70,75)",Vac,2024,70,NA,C_GP_NonPHN,19015824.013412226,19008849.204384092,17799419.705896504,20213628.07150574
"Second_[70,75)",Vac,2024,70,NA,C_GP_PHN,7966933.570016961,7934004.653871548,7132463.871747061,8880854.867420267
"Second_[70,75)",Vac,2024,70,NA,C_GP,26982757.583429184,26960031.728106372,25194556.510574155,28741073.51280436
"Second_[70,75)",Vac,2024,70,NA,C_Med,67263346.60607898,67175585.83467224,60342321.4077406,74892819.57695137
"Second_[70,75)",Vac,2024,70,NA,C_VacZVL,0,0,0,0
"Second_[70,75)",Vac,2024,70,NA,C_VacRZV,0,0,0,0
"Second_[70,75)",Vac,2024,70,NA,C_Vac,0,0,0,0
"Second_[70,75)",Vac,2024,70,NA,C_All,67263346.60607898,67175585.83467224,60342321.4077406,74892819.57695137
"Second_[70,75)",Vac,2024,70,NA,C_Hosp_d,26054962.830607355,26071789.10633854,22055542.784649774,30694146.406028356
"Second_[70,75)",Vac,2024,70,NA,C_GP_NonPHN_d,14055898.914274853,14046782.379644208,13122914.417239515,14957988.21311477
"Second_[70,75)",Vac,2024,70,NA,C_GP_PHN_d,5818171.591715091,5800114.5251714,5216481.434290539,6483018.8600870725
"Second_[70,75)",Vac,2024,70,NA,C_GP_d,19874070.505989943,19856943.28573075,18522910.742132783,21208036.299508948
"Second_[70,75)",Vac,2024,70,NA,C_Med_d,45929033.3365973,45910329.87817507,41211313.38954342,50830191.63865159
"Second_[70,75)",Vac,2024,70,NA,C_VacZVL_d,0,0,0,0
"Second_[70,75)",Vac,2024,70,NA,C_VacRZV_d,0,0,0,0
"Second_[70,75)",Vac,2024,70,NA,C_Vac_d,0,0,0,0
"Second_[70,75)",Vac,2024,70,NA,C_All_d,45929033.3365973,45910329.87817507,41211313.38954342,50830191.63865159
"Second_[70,75)",Vac,2024,70,NA,N_VacZVL,0,0,0,0
"Second_[70,75)",Vac,2024,70,NA,N_VacRZV,0,0,0,0
"Second_[70,75)",Vac,2024,70,NA,N_VacZVL_d,0,0,0,0
"Second_[70,75)",Vac,2024,70,NA,N_VacRZV_d,0,0,0,0
"Second_[70,75)",Vac,2024,71,NA,N0,1,1,1,1
"Second_[70,75)",Vac,2024,71,NA,Year_Life,13.996540565144116,13.996542198929923,13.99644305756919,13.996635375643336
"Second_[70,75)",Vac,2024,71,NA,Year_Immunised,2.7729709343872315,2.7839895376258372,2.217863397812377,3.4268399236436773
"Second_[70,75)",Vac,2024,71,NA,Risk_HZ,0.1069783895647141,0.10696137852317311,0.10045634821702411,0.11319741414932749
"Second_[70,75)",Vac,2024,71,NA,Risk_Hosp,0.005681246600329192,0.005684248031620076,0.004808287286799621,0.006640469512823051
"Second_[70,75)",Vac,2024,71,NA,Risk_PHN,0.009198957368890603,0.00919413998084145,0.008358357605805215,0.010112989471539165
"Second_[70,75)",Vac,2024,71,NA,Risk_Death,9.949693894529473e-7,9.929307263579556e-7,8.26851924732359e-7,1.1723502470620583e-6
"Second_[70,75)",Vac,2024,71,NA,Q_Life,17193085.80278177,17193087.55001931,17192976.69843693,17193191.075938318
"Second_[70,75)",Vac,2024,71,NA,Q_HZ,-20474.278310080146,-20452.0117457101,-23264.52876400349,-17566.31654158216
"Second_[70,75)",Vac,2024,71,NA,Q_All,17172611.52447169,17172634.754297726,17169783.197475985,17175504.977418207
"Second_[70,75)",Vac,2024,71,NA,Q_HZ_d,-14917.00952101203,-14906.485590144963,-16958.04919564792,-12811.498860150985
"Second_[70,75)",Vac,2024,71,NA,Q_Life_d,13070570.680625675,13070571.602482332,13070511.158365764,13070628.027813766
"Second_[70,75)",Vac,2024,71,NA,Q_All_d,13055653.671104664,13055668.156515494,13053600.67444386,13057729.5761494
"Second_[70,75)",Vac,2024,71,NA,C_Hosp,29869182.170031995,29875543.672484774,25375209.417950824,35017268.92692341
"Second_[70,75)",Vac,2024,71,NA,C_GP_NonPHN,13707642.969972776,13700589.125807054,12848339.800402425,14576622.864419809
"Second_[70,75)",Vac,2024,71,NA,C_GP_PHN,5786041.438566872,5759864.981187641,5175853.499320287,6449789.957852118
"Second_[70,75)",Vac,2024,71,NA,C_GP,19493684.40853965,19474595.264084466,18213408.093476377,20761060.212808546
"Second_[70,75)",Vac,2024,71,NA,C_Med,49362866.57857164,49294384.757869974,44331039.79956026,55118533.7515622
"Second_[70,75)",Vac,2024,71,NA,C_VacZVL,0,0,0,0
"Second_[70,75)",Vac,2024,71,NA,C_VacRZV,0,0,0,0
"Second_[70,75)",Vac,2024,71,NA,C_Vac,0,0,0,0
"Second_[70,75)",Vac,2024,71,NA,C_All,49362866.57857164,49294384.757869974,44331039.79956026,55118533.7515622
"Second_[70,75)",Vac,2024,71,NA,C_Hosp_d,19529015.40378175,19542100.50447664,16525281.37650909,22981548.611919995
"Second_[70,75)",Vac,2024,71,NA,C_GP_NonPHN_d,10183371.574803011,10173709.189768802,9528031.322868537,10839661.846534707
"Second_[70,75)",Vac,2024,71,NA,C_GP_PHN_d,4255587.933093699,4240629.917249539,3811473.6275073974,4734924.084537656
"Second_[70,75)",Vac,2024,71,NA,C_GP_d,14438959.50789671,14432129.296423297,13490454.773329463,15419061.648086501
"Second_[70,75)",Vac,2024,71,NA,C_Med_d,33967974.91167846,33945165.86944158,30459061.57093339,37619628.61740529
"Second_[70,75)",Vac,2024,71,NA,C_VacZVL_d,0,0,0,0
"Second_[70,75)",Vac,2024,71,NA,C_VacRZV_d,0,0,0,0
"Second_[70,75)",Vac,2024,71,NA,C_Vac_d,0,0,0,0
"Second_[70,75)",Vac,2024,71,NA,C_All_d,33967974.91167846,33945165.86944158,30459061.57093339,37619628.61740529
"Second_[70,75)",Vac,2024,71,NA,N_VacZVL,0,0,0,0
"Second_[70,75)",Vac,2024,71,NA,N_VacRZV,0,0,0,0
"Second_[70,75)",Vac,2024,71,NA,N_VacZVL_d,0,0,0,0
"Second_[70,75)",Vac,2024,71,NA,N_VacRZV_d,0,0,0,0
"Second_[70,75)",Vac,2024,72,NA,N0,1,1,1,1
"Second_[70,75)",Vac,2024,72,NA,Year_Life,13.735968327676861,13.735968785017427,13.735868328371328,13.736062335823744
"Second_[70,75)",Vac,2024,72,NA,Year_Immunised,2.926191191319667,2.9373405875751875,2.407083076610835,3.536933541054413
"Second_[70,75)",Vac,2024,72,NA,Risk_HZ,0.10268973899269007,0.10263088820529112,0.09642906140362871,0.10864246506250846
"Second_[70,75)",Vac,2024,72,NA,Risk_Hosp,0.00559205306647303,0.005593560667851627,0.0047268319628769396,0.006555022220816871
"Second_[70,75)",Vac,2024,72,NA,Risk_PHN,0.008885369635911007,0.008875655664785046,0.00806834273642129,0.009785102472047232
"Second_[70,75)",Vac,2024,72,NA,Risk_Death,9.77330286892194e-7,9.756076965819652e-7,8.114802969390059e-7,1.1540785376950213e-6
"Second_[70,75)",Vac,2024,72,NA,Q_Life,11199161.502196195,11199161.9197595,11199087.591393258,11199230.862844007
"Second_[70,75)",Vac,2024,72,NA,Q_HZ,-13198.973732702809,-13187.746211544843,-15009.119242308734,-11349.706688295671
"Second_[70,75)",Vac,2024,72,NA,Q_All,11185962.528463492,11185976.38816952,11184144.627761748,11187821.011880852
"Second_[70,75)",Vac,2024,72,NA,Q_HZ_d,-9667.944813854308,-9662.254876459352,-10985.113711491875,-8328.619477661412
"Second_[70,75)",Vac,2024,72,NA,Q_Life_d,8558634.642137138,8558635.203255704,8558594.69392953,8558672.978718638
"Second_[70,75)",Vac,2024,72,NA,Q_All_d,8548966.697323283,8548972.514935177,8547624.249475867,8550319.791911982
"Second_[70,75)",Vac,2024,72,NA,C_Hosp,19711814.402436443,19714560.554835822,16685258.073755166,23156314.08397079
"Second_[70,75)",Vac,2024,72,NA,C_GP_NonPHN,8784243.29207959,8781264.507418562,8226839.387439434,9346337.76711875
"Second_[70,75)",Vac,2024,72,NA,C_GP_PHN,3734142.6445660144,3718088.0689643417,3347177.7343185917,4163923.709768512
"Second_[70,75)",Vac,2024,72,NA,C_GP,12518385.936645605,12512832.749239048,11714450.261031035,13324919.04833206
"Second_[70,75)",Vac,2024,72,NA,C_Med,32230200.339082047,32189798.24565648,28901472.103816517,36072061.49557053
"Second_[70,75)",Vac,2024,72,NA,C_VacZVL,0,0,0,0
"Second_[70,75)",Vac,2024,72,NA,C_VacRZV,0,0,0,0
"Second_[70,75)",Vac,2024,72,NA,C_Vac,0,0,0,0
"Second_[70,75)",Vac,2024,72,NA,C_All,32230200.339082047,32189798.24565648,28901472.103816517,36072061.49557053
"Second_[70,75)",Vac,2024,72,NA,C_Hosp_d,13021242.174028793,13026785.563033637,10990974.370138664,15320368.765528558
"Second_[70,75)",Vac,2024,72,NA,C_GP_NonPHN_d,6555136.204774525,6549521.058702737,6140274.584479774,6981467.334639006
"Second_[70,75)",Vac,2024,72,NA,C_GP_PHN_d,2764302.7704828926,2757239.7222419097,2476594.160205465,3080426.177566963
"Second_[70,75)",Vac,2024,72,NA,C_GP_d,9319438.975257417,9314095.269414533,8726012.521408988,9932879.592961038
"Second_[70,75)",Vac,2024,72,NA,C_Med_d,22340681.14928621,22321701.013651412,19988980.87500285,24824886.918405198
"Second_[70,75)",Vac,2024,72,NA,C_VacZVL_d,0,0,0,0
"Second_[70,75)",Vac,2024,72,NA,C_VacRZV_d,0,0,0,0
"Second_[70,75)",Vac,2024,72,NA,C_Vac_d,0,0,0,0
"Second_[70,75)",Vac,2024,72,NA,C_All_d,22340681.14928621,22321701.013651412,19988980.87500285,24824886.918405198
"Second_[70,75)",Vac,2024,72,NA,N_VacZVL,0,0,0,0
"Second_[70,75)",Vac,2024,72,NA,N_VacRZV,0,0,0,0
