Scenario,Arm,Age0,Age1,Index,A,M,L,U
Overall,ReVac_RZV_1d,70,80,N0,1,1,1,1
Overall,ReVac_RZV_1d,70,80,Year0,2024,2024,2024,2024
Overall,ReVac_RZV_1d,70,80,Year_Life,16.743657347271377,16.74366992327348,16.743577646392435,16.74369116452571
Overall,ReVac_RZV_1d,70,80,Year_Immunised,10.823359376347296,10.960859762268136,10.307053706571917,11.095275126859681
Overall,ReVac_RZV_1d,70,80,Risk_HZ,0.052327548098386203,0.05104672933029632,0.04963865012233334,0.05807954374470606
Overall,ReVac_RZV_1d,70,80,Risk_Hosp,0.002395092000846919,0.002392477255656073,0.0020621198185271036,0.002933015554097506
Overall,ReVac_RZV_1d,70,80,Risk_PHN,0.004315620192404919,0.004188508322520231,0.003931225017768121,0.004988600884597442
Overall,ReVac_RZV_1d,70,80,Risk_Death,2.2832087200755681e-7,2.2753022661493613e-7,1.5427768083339408e-7,3.265423350094894e-7
Overall,ReVac_RZV_1d,70,80,Q_Life,12.68102419020413,12.681032168671242,12.68097033956003,12.681046788483908
Overall,ReVac_RZV_1d,70,80,Q_HZ,-0.008493912431506954,-0.008842370913746914,-0.010723237910783098,-0.005405356399808166
Overall,ReVac_RZV_1d,70,80,Q_HZ_Norm,-0.002960935852030621,-0.0028325349731319087,-0.005295476567052379,-7.543484868240303e-4
Overall,ReVac_RZV_1d,70,80,Q_All,12.652858976502985,12.652527731370707,12.650641255431026,12.655924507457827
Overall,ReVac_RZV_1d,70,80,Q_HZ_d,-0.006044212726646005,-0.006360201728990186,-0.007729732513458351,-0.003853422139069004
Overall,ReVac_RZV_1d,70,80,Q_HZ_Norm_d,-0.0021851475696339838,-0.002096044968443649,-0.003920488890137339,-5.527520566760411e-4
Overall,ReVac_RZV_1d,70,80,Q_Life_d,9.405444087832198,9.405447231512802,9.405417391952495,9.405455558469951
Overall,ReVac_RZV_1d,70,80,Q_All_d,9.399399875105551,9.399091419070036,9.397719590206894,9.401577026843018
Overall,ReVac_RZV_1d,70,80,C_Hosp,10.24257360742224,10.25823178537351,8.698379762906976,12.638858086557734
Overall,ReVac_RZV_1d,70,80,C_GP_NonPHN,4.678431905581984,4.60362779144865,4.411631016189612,5.176906941286831
Overall,ReVac_RZV_1d,70,80,C_GP_PHN,1.9080039734783085,1.8518238736891006,1.7348221235343697,2.240693915303025
Overall,ReVac_RZV_1d,70,80,C_GP,6.586435879060293,6.451867675826236,6.168604759659422,7.353918134618329
Overall,ReVac_RZV_1d,70,80,C_Med,16.829009486482533,16.748594267993152,15.042652831256818,19.91991712365371
Overall,ReVac_RZV_1d,70,80,C_VacZVL,110,110,110,110
Overall,ReVac_RZV_1d,70,80,C_VacRZV,68.66203861446061,68.66204824549561,68.66189606304778,68.66214072781762
Overall,ReVac_RZV_1d,70,80,C_Vac,178.6620386144606,178.6620482454956,178.66189606304778,178.66214072781762
Overall,ReVac_RZV_1d,70,80,C_All,195.49104810094315,195.4106761556249,193.70469141069347,198.58190965831898
Overall,ReVac_RZV_1d,70,80,C_Hosp_d,6.098362496721501,6.07040048917937,5.37955099173524,7.4387505784151955
