Scenario,Arm,Age0,Age1,Index,A,M,L,U
Overall,ReRZV_1d,60,80,N0,1,1,1,1
Overall,ReRZV_1d,60,80,Year0,2024,2024,2024,2024
Overall,ReRZV_1d,60,80,Year_Life,24.893573601777856,24.893576056088573,24.89346737882525,24.893676662030792
Overall,ReRZV_1d,60,80,Year_Immunised,8.010844564115247,7.971449182211965,6.8897128065781565,9.27519820247683
Overall,ReRZV_1d,60,80,Risk_HZ,0.13602809395119475,0.13626750827107445,0.12455297573528679,0.14631296308766967
Overall,ReRZV_1d,60,80,Risk_Hosp,0.004321601580901719,0.004324040924649301,0.0034429066820456946,0.005188659055755201
Overall,ReRZV_1d,60,80,Risk_PHN,0.009526875261483336,0.009534534222076126,0.008442883004965342,0.01059514854336836
Overall,ReRZV_1d,60,80,Risk_Death,5.047084491803132e-7,5.067005900897894e-7,3.0565322162732697e-7,6.908126254272176e-7
Overall,ReRZV_1d,60,80,Q_Life,19.20540797898369,19.205409571943818,19.205334164292267,19.205477990321068
Overall,ReRZV_1d,60,80,Q_HZ,-0.02139355138374177,-0.021447683224291837,-0.030491476090111606,-0.012813307288327334
Overall,ReRZV_1d,60,80,Q_HZ_Norm,-0.008638498294239969,-0.008199509796270781,-0.016122232163385188,-0.003544737666567153
Overall,ReRZV_1d,60,80,Q_All,19.166111615153955,19.1660891643609,19.156975759246112,19.174665645018287
Overall,ReRZV_1d,60,80,Q_HZ_d,-0.02139355138374177,-0.021447683224291837,-0.030491476090111606,-0.012813307288327334
Overall,ReRZV_1d,60,80,Q_HZ_Norm_d,-0.008638498294239969,-0.008199509796270781,-0.016122232163385188,-0.003544737666567153
Overall,ReRZV_1d,60,80,Q_Life_d,19.20540797898369,19.205409571943818,19.205334164292267,19.205477990321068
Overall,ReRZV_1d,60,80,Q_All_d,19.184014427599948,19.183992433744177,19.174878355818503,19.192568450976673
Overall,ReRZV_1d,60,80,C_Hosp,17.87564562261302,17.921913512134275,13.967511861708848,21.608009313861817
Overall,ReRZV_1d,60,80,C_GP_NonPHN,12.553358687591558,12.575665846717737,11.555833844190916,13.490326038477393
Overall,ReRZV_1d,60,80,C_GP_PHN,4.22801937793356,4.229325863706457,3.6796874534453456,4.7508793990758464
Overall,ReRZV_1d,60,80,C_GP,16.781378065525118,16.781907626411023,15.267260046646825,18.108637308392996
Overall,ReRZV_1d,60,80,C_Med,34.65702368813814,34.72540680707035,29.76977883345955,39.253345535018866
Overall,ReRZV_1d,60,80,C_VacZVL,110,110,110,110
Overall,ReRZV_1d,60,80,C_VacRZV,62.494248197220294,62.49425265647548,62.49399816175139,62.494466303132555
Overall,ReRZV_1d,60,80,C_Vac,172.4942481972203,172.49425265647548,172.4939981617514,172.49446630313255
Overall,ReRZV_1d,60,80,C_All,207.15127188535843,207.21957692117178,202.26400016102832,211.74772341141204
Overall,ReRZV_1d,60,80,C_Hosp_d,17.87564562261302,17.921913512134275,13.967511861708848,21.608009313861817
Overall,ReRZV_1d,60,80,C_GP_NonPHN_d,12.553358687591558,12.575665846717737,11.555833844190916,13.490326038477393
Overall,ReRZV_1d,60,80,C_GP_PHN_d,4.22801937793356,4.229325863706457,3.6796874534453456,4.7508793990758464
Overall,ReRZV_1d,60,80,C_GP_d,16.781378065525118,16.781907626411023,15.267260046646825,18.108637308392996
Overall,ReRZV_1d,60,80,C_Med_d,34.65702368813814,34.72540680707035,29.76977883345955,39.253345535018866
Overall,ReRZV_1d,60,80,C_VacZVL_d,110,110,110,110
Overall,ReRZV_1d,60,80,C_VacRZV_d,62.494248197220294,62.49425265647548,62.49399816175139,62.494466303132555
Overall,ReRZV_1d,60,80,C_Vac_d,172.4942481972203,172.49425265647548,172.4939981617514,172.49446630313255
Overall,ReRZV_1d,60,80,C_All_d,207.15127188535843,207.21957692117178,202.26400016102832,211.74772341141204
Overall,ReRZV_1d,60,80,N_VacZVL,1,1,1,1
Overall,ReRZV_1d,60,80,N_VacRZV,0.7352264493790622,0.7352265018408881,0.7352235077853105,0.7352290153309712
Overall,ReRZV_1d,60,80,N_VacZVL_d,1,1,1,1
Overall,ReRZV_1d,60,80,N_VacRZV_d,0.7352264493790622,0.7352265018408881,0.7352235077853105,0.7352290153309712
Overall,ReRZV_1d,60,81,N0,1,1,1,1
Overall,ReRZV_1d,60,81,Year0,2024,2024,2024,2024
Overall,ReRZV_1d,60,81,Year_Life,24.893570116626698,24.89357241533839,24.89346646504803,24.893667152579578
Overall,ReRZV_1d,60,81,Year_Immunised,7.775448515089772,7.750493883502807,6.66630448227435,8.987382162078651
Overall,ReRZV_1d,60,81,Risk_HZ,0.13823533002619592,0.13841274102798853,0.12717120825584716,0.14810165073709783
Overall,ReRZV_1d,60,81,Risk_Hosp,0.0043453981738309265,0.004342318864217211,0.003478523185391629,0.0051693383925376975
Overall,ReRZV_1d,60,81,Risk_PHN,0.009723251817487557,0.00973726186511907,0.008630133936318495,0.010757247946558244
Overall,ReRZV_1d,60,81,Risk_Death,4.983890932374397e-7,4.962829168839e-7,3.209299361362422e-7,6.646011461412573e-7
Overall,ReRZV_1d,60,81,Q_Life,19.205405047506616,19.205407021890068,19.205333181188145,19.205471581722833
Overall,ReRZV_1d,60,81,Q_HZ,-0.021743727419472565,-0.021776051091550213,-0.03100178407315074,-0.013047357513386404
Overall,ReRZV_1d,60,81,Q_HZ_Norm,-0.008782457532378565,-0.008339498895838713,-0.01638528179560693,-0.0035862698081319234
Overall,ReRZV_1d,60,81,Q_All,19.165758358453267,19.165729954493244,19.156470037694046,19.174474441686456
Overall,ReRZV_1d,60,81,Q_HZ_d,-0.021743727419472565,-0.021776051091550213,-0.03100178407315074,-0.013047357513386404
Overall,ReRZV_1d,60,81,Q_HZ_Norm_d,-0.008782457532378565,-0.008339498895838713,-0.01638528179560693,-0.0035862698081319234
Overall,ReRZV_1d,60,81,Q_Life_d,19.205405047506616,19.205407021890068,19.205333181188145,19.205471581722833
Overall,ReRZV_1d,60,81,Q_All_d,19.183661320087143,19.183631920484615,19.174372595067087,19.192376642787604
Overall,ReRZV_1d,60,81,C_Hosp,17.923711794554112,17.91854222788076,14.217717159523716,21.50193680205815
Overall,ReRZV_1d,60,81,C_GP_NonPHN,12.757533612784583,12.774641760179545,11.805103100435222,13.675742342460442
Overall,ReRZV_1d,60,81,C_GP_PHN,4.317690943170557,4.323729422843315,3.7723508694183523,4.818209328391463
Overall,ReRZV_1d,60,81,C_GP,17.075224555955142,17.081723459565502,15.661881758201103,18.382739911715102
Overall,ReRZV_1d,60,81,C_Med,34.998936350509254,34.993632359350855,30.503969644206816,39.33536399643913
Overall,ReRZV_1d,60,81,C_VacZVL,110,110,110,110
Overall,ReRZV_1d,60,81,C_VacRZV,60.062021375509126,60.0620268537194,60.06175014112673,60.06226517698855
Overall,ReRZV_1d,60,81,C_Vac,170.06202137550912,170.0620268537194,170.06175014112674,170.06226517698855
Overall,ReRZV_1d,60,81,C_All,205.0609577260184,205.05573695140836,200.56590551169074,209.3974402602425
Overall,ReRZV_1d,60,81,C_Hosp_d,17.923711794554112,17.91854222788076,14.217717159523716,21.50193680205815
Overall,ReRZV_1d,60,81,C_GP_NonPHN_d,12.757533612784583,12.774641760179545,11.805103100435222,13.675742342460442
Overall,ReRZV_1d,60,81,C_GP_PHN_d,4.317690943170557,4.323729422843315,3.7723508694183523,4.818209328391463
Overall,ReRZV_1d,60,81,C_GP_d,17.075224555955142,17.081723459565502,15.661881758201103,18.382739911715102
Overall,ReRZV_1d,60,81,C_Med_d,34.998936350509254,34.993632359350855,30.503969644206816,39.33536399643913
Overall,ReRZV_1d,60,81,C_VacZVL_d,110,110,110,110
Overall,ReRZV_1d,60,81,C_VacRZV_d,60.062021375509126,60.0620268537194,60.06175014112673,60.06226517698855
Overall,ReRZV_1d,60,81,C_Vac_d,170.06202137550912,170.0620268537194,170.06175014112674,170.06226517698855
Overall,ReRZV_1d,60,81,C_All_d,205.0609577260184,205.05573695140836,200.56590551169074,209.3974402602425
Overall,ReRZV_1d,60,81,N_VacZVL,1,1,1,1
Overall,ReRZV_1d,60,81,N_VacRZV,0.7066120161824603,0.706612080631993,0.7066088251897262,0.7066148844351594
Overall,ReRZV_1d,60,81,N_VacZVL_d,1,1,1,1
Overall,ReRZV_1d,60,81,N_VacRZV_d,0.7066120161824603,0.706612080631993,0.7066088251897262,0.7066148844351594
Overall,ReRZV_1d,60,82,N0,1,1,1,1
Overall,ReRZV_1d,60,82,Year0,2024,2024,2024,2024
Overall,ReRZV_1d,60,82,Year_Life,24.893563996902525,24.893567979664954,24.893459907395442,24.893660162521414
Overall,ReRZV_1d,60,82,Year_Immunised,7.535480363133112,7.513499075685356,6.480967438610119,8.699668294827505
Overall,ReRZV_1d,60,82,Risk_HZ,0.1405293685218657,0.14059049811734078,0.1300458792406231,0.1501442512148301
Overall,ReRZV_1d,60,82,Risk_Hosp,0.00439078722585435,0.004387952569714885,0.0035881171942107014,0.005195422484247875
Overall,ReRZV_1d,60,82,Risk_PHN,0.0099383416442577,0.009943412350538338,0.008890431099040074,0.010960774438119346
Overall,ReRZV_1d,60,82,Risk_Death,4.980897745651242e-7,4.94379201409225e-7,3.4452186320758517e-7,6.509847290611667e-7
Overall,ReRZV_1d,60,82,Q_Life,19.205400314660587,19.205403044911048,19.205328417236274,19.205466893616837
Overall,ReRZV_1d,60,82,Q_HZ,-0.022111316988883026,-0.02216086771618317,-0.03152892038894775,-0.01320125112719841
Overall,ReRZV_1d,60,82,Q_HZ_Norm,-0.008928464148791155,-0.00849173541950039,-0.016666318800487932,-0.0036340935968480533
