Scenario,Arm,Age0,Age1,Index,A,M,L,U
Overall,ReRZV_1d,60,80,N0,1,1,1,1
Overall,ReRZV_1d,60,80,Year0,2024,2024,2024,2024
Overall,ReRZV_1d,60,80,Year_Life,24.893739415226797,24.893740082354487,24.893641238523113,24.89383165234718
Overall,ReRZV_1d,60,80,Year_Immunised,12.802122745264953,12.808776121459868,11.169274512495305,14.436798680194693
Overall,ReRZV_1d,60,80,Risk_HZ,0.09846773219007052,0.09841668261832129,0.08515383410455206,0.11224565193076157
Overall,ReRZV_1d,60,80,Risk_Hosp,0.003059826673776406,0.0030598093416454894,0.002233000942135927,0.003896111250184388
Overall,ReRZV_1d,60,80,Risk_PHN,0.006963504184011139,0.006971462545637066,0.005769847136878705,0.008128863863575647
Overall,ReRZV_1d,60,80,Risk_Death,2.7539988873417667e-7,2.741614726367106e-7,1.430241694834439e-7,4.457331164698426e-7
Overall,ReRZV_1d,60,80,Q_Life,19.205522392152705,19.205523086058314,19.205455193576135,19.20558461074639
Overall,ReRZV_1d,60,80,Q_HZ,-0.013163037269926098,-0.013164637833417817,-0.015537369973284162,-0.010842099740417185
Overall,ReRZV_1d,60,80,Q_HZ_Norm,-0.004181445732306982,-0.004184686383528421,-0.0049512138876117075,-0.00342680575402151
Overall,ReRZV_1d,60,80,Q_All,19.174454815180752,19.174458413961794,19.172025628711335,19.176791674612225
Overall,ReRZV_1d,60,80,Q_HZ_d,-0.013163037269926098,-0.013164637833417817,-0.015537369973284162,-0.010842099740417185
Overall,ReRZV_1d,60,80,Q_HZ_Norm_d,-0.004181445732306982,-0.004184686383528421,-0.0049512138876117075,-0.00342680575402151
Overall,ReRZV_1d,60,80,Q_Life_d,19.205522392152705,19.205523086058314,19.205455193576135,19.20558461074639
Overall,ReRZV_1d,60,80,Q_All_d,19.19235935488278,19.192362846703965,19.189928522811424,19.19469780839059
Overall,ReRZV_1d,60,80,C_Hosp,12.577801966985364,12.598362725790913,8.93221100734085,16.204796217212767
Overall,ReRZV_1d,60,80,C_GP_NonPHN,9.084682433674825,9.076228678139127,7.817607290124195,10.377532572404219
Overall,ReRZV_1d,60,80,C_GP_PHN,3.0939182324718755,3.0884470915867546,2.5579177930397217,3.6525574929889535
Overall,ReRZV_1d,60,80,C_GP,12.1786006661467,12.18229959952459,10.485099286798908,13.945774436942477
Overall,ReRZV_1d,60,80,C_Med,24.756402633132065,24.74390405310641,19.758042099346724,29.556520913760128
Overall,ReRZV_1d,60,80,C_VacZVL,110,110,110,110
Overall,ReRZV_1d,60,80,C_VacRZV,62.4944512943307,62.49445548324419,62.49420480939604,62.49466521592809
Overall,ReRZV_1d,60,80,C_Vac,172.4944512943307,172.49445548324417,172.49420480939605,172.4946652159281
Overall,ReRZV_1d,60,80,C_All,197.25085392746277,197.23839390546206,192.25252778093048,202.05097170714413
Overall,ReRZV_1d,60,80,C_Hosp_d,12.577801966985364,12.598362725790913,8.93221100734085,16.204796217212767
Overall,ReRZV_1d,60,80,C_GP_NonPHN_d,9.084682433674825,9.076228678139127,7.817607290124195,10.377532572404219
Overall,ReRZV_1d,60,80,C_GP_PHN_d,3.0939182324718755,3.0884470915867546,2.5579177930397217,3.6525574929889535
Overall,ReRZV_1d,60,80,C_GP_d,12.1786006661467,12.18229959952459,10.485099286798908,13.945774436942477
Overall,ReRZV_1d,60,80,C_Med_d,24.756402633132065,24.74390405310641,19.758042099346724,29.556520913760128
Overall,ReRZV_1d,60,80,C_VacZVL_d,110,110,110,110
Overall,ReRZV_1d,60,80,C_VacRZV_d,62.4944512943307,62.49445548324419,62.49420480939604,62.49466521592809
Overall,ReRZV_1d,60,80,C_Vac_d,172.4944512943307,172.49445548324417,172.49420480939605,172.4946652159281
Overall,ReRZV_1d,60,80,C_All_d,197.25085392746277,197.23839390546206,192.25252778093048,202.05097170714413
Overall,ReRZV_1d,60,80,N_VacZVL,1,1,1,1
Overall,ReRZV_1d,60,80,N_VacRZV,0.7352288387568318,0.735228888038167,0.735225938934071,0.7352313554815069
Overall,ReRZV_1d,60,80,N_VacZVL_d,1,1,1,1
Overall,ReRZV_1d,60,80,N_VacRZV_d,0.7352288387568318,0.735228888038167,0.735225938934071,0.7352313554815069
Overall,ReRZV_1d,60,81,N0,1,1,1,1
Overall,ReRZV_1d,60,81,Year0,2024,2024,2024,2024
Overall,ReRZV_1d,60,81,Year_Life,24.893731340586832,24.89373196256942,24.89363706503103,24.893816500306237
Overall,ReRZV_1d,60,81,Year_Immunised,12.473882076504351,12.486630980669545,10.830212500876296,14.104655335316474
Overall,ReRZV_1d,60,81,Risk_HZ,0.10156096406055282,0.10141023353668402,0.08823181376408307,0.11550589600777342
Overall,ReRZV_1d,60,81,Risk_Hosp,0.0031136699250930273,0.003105149384461442,0.002350779911321276,0.0038973861326164288
Overall,ReRZV_1d,60,81,Risk_PHN,0.007241178195674111,0.007233814859728712,0.006062088170466655,0.008386055364284814
Overall,ReRZV_1d,60,81,Risk_Death,2.770246482665014e-7,2.735289979865364e-7,1.6167205266935508e-7,4.222123868360934e-7
Overall,ReRZV_1d,60,81,Q_Life,19.205516175345927,19.20551662202626,19.205454149589627,19.20557387118247
Overall,ReRZV_1d,60,81,Q_HZ,-0.013592113678450412,-0.01360055545201719,-0.015957639028384867,-0.011238696088789428
Overall,ReRZV_1d,60,81,Q_HZ_Norm,-0.004305344253637953,-0.004311241766257606,-0.005097886894659766,-0.003547231617544735
Overall,ReRZV_1d,60,81,Q_All,19.17401933753801,19.17400563036849,19.171611926316885,19.17641308935667
Overall,ReRZV_1d,60,81,Q_HZ_d,-0.013592113678450412,-0.01360055545201719,-0.015957639028384867,-0.011238696088789428
Overall,ReRZV_1d,60,81,Q_HZ_Norm_d,-0.004305344253637953,-0.004311241766257606,-0.005097886894659766,-0.003547231617544735
Overall,ReRZV_1d,60,81,Q_Life_d,19.205516175345927,19.20551662202626,19.205454149589627,19.20557387118247
Overall,ReRZV_1d,60,81,Q_All_d,19.19192406166748,19.191910771821117,19.1895172528842,19.19431952416779
Overall,ReRZV_1d,60,81,C_Hosp,12.745466740706455,12.703553680893405,9.444098357563934,16.151398792049985
Overall,ReRZV_1d,60,81,C_GP_NonPHN,9.368734019555722,9.363611106028799,8.095969650546625,10.663253532532298
Overall,ReRZV_1d,60,81,C_GP_PHN,3.2198304844667893,3.211822331368328,2.678527653130441,3.7909874030340602
Overall,ReRZV_1d,60,81,C_GP,12.588564504022512,12.583968754484516,10.86192620836213,14.37769772578692
Overall,ReRZV_1d,60,81,C_Med,25.33403124472897,25.308168092737347,20.638399620313653,29.964913101630263
Overall,ReRZV_1d,60,81,C_VacZVL,110,110,110,110
Overall,ReRZV_1d,60,81,C_VacRZV,60.06224000454946,60.06224424043024,60.06196159831997,60.06248543008878
Overall,ReRZV_1d,60,81,C_Vac,170.06224000454947,170.06224424043023,170.06196159831998,170.0624854300888
Overall,ReRZV_1d,60,81,C_All,195.3962712492784,195.370413518571,190.7006914085233,200.02721755977672
Overall,ReRZV_1d,60,81,C_Hosp_d,12.745466740706455,12.703553680893405,9.444098357563934,16.151398792049985
Overall,ReRZV_1d,60,81,C_GP_NonPHN_d,9.368734019555722,9.363611106028799,8.095969650546625,10.663253532532298
Overall,ReRZV_1d,60,81,C_GP_PHN_d,3.2198304844667893,3.211822331368328,2.678527653130441,3.7909874030340602
Overall,ReRZV_1d,60,81,C_GP_d,12.588564504022512,12.583968754484516,10.86192620836213,14.37769772578692
Overall,ReRZV_1d,60,81,C_Med_d,25.33403124472897,25.308168092737347,20.638399620313653,29.964913101630263
Overall,ReRZV_1d,60,81,C_VacZVL_d,110,110,110,110
Overall,ReRZV_1d,60,81,C_VacRZV_d,60.06224000454946,60.06224424043024,60.06196159831997,60.06248543008878
Overall,ReRZV_1d,60,81,C_Vac_d,170.06224000454947,170.06224424043023,170.06196159831998,170.0624854300888
Overall,ReRZV_1d,60,81,C_All_d,195.3962712492784,195.370413518571,190.7006914085233,200.02721755977672
Overall,ReRZV_1d,60,81,N_VacZVL,1,1,1,1
Overall,ReRZV_1d,60,81,N_VacRZV,0.7066145882888172,0.7066146381227087,0.7066113129214114,0.7066174756481033
Overall,ReRZV_1d,60,81,N_VacZVL_d,1,1,1,1
Overall,ReRZV_1d,60,81,N_VacRZV_d,0.7066145882888172,0.7066146381227087,0.7066113129214114,0.7066174756481033
Overall,ReRZV_1d,60,82,N0,1,1,1,1
Overall,ReRZV_1d,60,82,Year0,2024,2024,2024,2024
Overall,ReRZV_1d,60,82,Year_Life,24.89371963504291,24.893719763965766,24.8936331462586,24.893798738175782
Overall,ReRZV_1d,60,82,Year_Immunised,12.138516325162328,12.148899294780481,10.49683790769735,13.843940643967771
Overall,ReRZV_1d,60,82,Risk_HZ,0.10477045638637551,0.10459237482187245,0.0911122044155538,0.1187944888538626
Overall,ReRZV_1d,60,82,Risk_Hosp,0.0031969013124465906,0.0031787296946601457,0.0024632609746710332,0.003957300696339455
Overall,ReRZV_1d,60,82,Risk_PHN,0.007542191347897792,0.007526017527934957,0.006354856619074417,0.008759178441523704
Overall,ReRZV_1d,60,82,Risk_Death,2.857883943376773e-7,2.8278924452360963e-7,1.8255526358733776e-7,4.165095882091604e-7
Overall,ReRZV_1d,60,82,Q_Life,19.205507493983784,19.20550730404291,19.205447733620566,19.205561363380358
Overall,ReRZV_1d,60,82,Q_HZ,-0.014042788579304579,-0.014054426925725122,-0.016396680682968633,-0.011749615400610149
Overall,ReRZV_1d,60,82,Q_HZ_Norm,-0.004426278540938248,-0.004434626492910286,-0.005236271643355287,-0.003659993258728354
