Scenario,Age0,Arm,Year0,N0,Index,A,M,L,U
Vac_50,50,RZV_1d,2024,1,dYear_Life,8.806054501488348e-5,4.389403493476607e-5,1.2538921098048662e-5,4.5677287110787993e-4
Vac_50,50,RZV_1d,2024,1,dYear_Immunised,9.379615680137311,8.283746519040255,5.4835312787146,19.29574022846145
Vac_50,50,RZV_1d,2024,1,dRisk_HZ,-0.052136798155695094,-0.04230117071471477,-0.13088228824603934,-0.02553804091142836
Vac_50,50,RZV_1d,2024,1,dRisk_Hosp,-7.167818388301202e-4,-3.785928189561599e-4,-0.003475106854803708,-1.4769364279689542e-4
Vac_50,50,RZV_1d,2024,1,dRisk_PHN,-0.002394758726715442,-0.0016677227551329657,-0.008019331397943965,-8.518160392135349e-4
Vac_50,50,RZV_1d,2024,1,dRisk_Death,-1.4141859109715836e-7,-5.09794644298687e-8,-8.235962073928712e-7,-6.9611258990451505e-9
Vac_50,50,RZV_1d,2024,1,dQ_Life,6.253678865067868e-5,3.1878815573094244e-5,9.355526463306063e-6,3.158987006655955e-4
Vac_50,50,RZV_1d,2024,1,dQ_HZ,0.007690948640184224,0.006164994865154526,0.0030091935780696857,0.021579749686742714
Vac_50,50,RZV_1d,2024,1,dQ_HZ_Norm,0.0036832932067671536,0.0030064620429096803,0.0010344454589633297,0.009588814903441581
Vac_50,50,RZV_1d,2024,1,dQ_All,0.00775292607516873,0.006195043099376463,0.003037326160840781,0.02188362441925688
Vac_50,50,RZV_1d,2024,1,dQ_HZ_d,0.007690948640184224,0.006164994865154526,0.0030091935780696857,0.021579749686742714
Vac_50,50,RZV_1d,2024,1,dQ_HZ_Norm_d,0.0036832932067671536,0.0030064620429096803,0.0010344454589633297,0.009588814903441581
Vac_50,50,RZV_1d,2024,1,dQ_Life_d,6.253678865067868e-5,3.1878815573094244e-5,9.355526463306063e-6,3.158987006655955e-4
Vac_50,50,RZV_1d,2024,1,dQ_All_d,0.007753485428834956,0.006195135081393133,0.0030373479232541634,0.02188738099963458
Vac_50,50,RZV_1d,2024,1,dC_Hosp,-2.6718375123429587,-1.239937661183653,-14.287270572129524,-0.41308753859537045
Vac_50,50,RZV_1d,2024,1,dC_GP_NonPHN,-5.033518784104822,-4.134891439984358,-12.332670866574876,-2.504222620027582
Vac_50,50,RZV_1d,2024,1,dC_GP_PHN,-1.082416157209798,-0.7644251755379261,-3.524463159530212,-0.390741237928451
Vac_50,50,RZV_1d,2024,1,dC_GP,-6.115934941314619,-4.9044900262253694,-15.789381669480296,-2.882747274204466
Vac_50,50,RZV_1d,2024,1,dC_Med,-8.787772453657578,-6.131993841892182,-30.538278914242397,-3.33753334486086
Vac_50,50,RZV_1d,2024,1,dC_VacZVL,0,0,0,0
Vac_50,50,RZV_1d,2024,1,dC_VacRZV,85,85,85,85
Vac_50,50,RZV_1d,2024,1,dC_Vac,85,85,85,85
Vac_50,50,RZV_1d,2024,1,dC_All,76.21222754634242,78.86800615810782,54.4617210857576,81.66246665513913
Vac_50,50,RZV_1d,2024,1,dC_Hosp_d,-2.6718375123429587,-1.239937661183653,-14.287270572129524,-0.41308753859537045
Vac_50,50,RZV_1d,2024,1,dC_GP_NonPHN_d,-5.033518784104822,-4.134891439984358,-12.332670866574876,-2.504222620027582
Vac_50,50,RZV_1d,2024,1,dC_GP_PHN_d,-1.082416157209798,-0.7644251755379261,-3.524463159530212,-0.390741237928451
Vac_50,50,RZV_1d,2024,1,dC_GP_d,-6.115934941314619,-4.9044900262253694,-15.789381669480296,-2.882747274204466
Vac_50,50,RZV_1d,2024,1,dC_Med_d,-8.787772453657578,-6.131993841892182,-30.538278914242397,-3.33753334486086
Vac_50,50,RZV_1d,2024,1,dC_VacZVL_d,0,0,0,0
Vac_50,50,RZV_1d,2024,1,dC_VacRZV_d,85,85,85,85
Vac_50,50,RZV_1d,2024,1,dC_Vac_d,85,85,85,85
Vac_50,50,RZV_1d,2024,1,dC_All_d,76.21222754634242,78.86800615810782,54.4617210857576,81.66246665513913
Vac_50,50,RZV_1d,2024,1,dN_VacZVL,0,0,0,0
Vac_50,50,RZV_1d,2024,1,dN_VacRZV,1,1,1,1
Vac_50,50,RZV_1d,2024,1,dN_VacZVL_d,0,0,0,0
Vac_50,50,RZV_1d,2024,1,dN_VacRZV_d,1,1,1,1
Vac_50,50,RZV_1d,2024,1,ICER,13168.801952082264,12710.678794753181,2547.4789046601873,26822.67011050873
Vac_50,50,RZV_1d,2024,1,Price0,85,85,85,85
Vac_50,50,RZV_1d,2024,1,Thres20,163.8574810303567,129.93305991459368,64.47900275114111,468.05466323725875
Vac_50,50,RZV_1d,2024,1,Thres30,241.39233531870627,191.8108656435648,94.68375683384299,685.3051448509683
Vac_50,50,RZV_1d,2024,1,Thres20_50,NA,129.93305991459368,NA,NA
Vac_50,50,RZV_1d,2024,1,Thres30_90,NA,116.59527020454416,NA,NA
Vac_50,50,RZV_1d,2024,1,Thres,NA,116.59527020454416,NA,NA
Vac_50,50,RZV_2d,2024,1,dYear_Life,1.253232040217327e-4,6.84322907176238e-5,1.8260216089238667e-5,5.661111890542968e-4
Vac_50,50,RZV_2d,2024,1,dYear_Immunised,12.225187741688373,10.8240227171567,7.415781977732005,23.564934789399832
Vac_50,50,RZV_2d,2024,1,dRisk_HZ,-0.06967906224078903,-0.057759261657626154,-0.16259348543073646,-0.03530001413846599
Vac_50,50,RZV_2d,2024,1,dRisk_Hosp,-0.001009815738063738,-5.634117931379548e-4,-0.004321443711132143,-2.0812975968446495e-4
Vac_50,50,RZV_2d,2024,1,dRisk_PHN,-0.003295856497003693,-0.002395001063504357,-0.009963480390104699,-0.001190012141723012
Vac_50,50,RZV_2d,2024,1,dRisk_Death,-1.945052412545879e-7,-8.381687531930666e-8,-9.493718539866901e-7,-1.0849969719587954e-8
Vac_50,50,RZV_2d,2024,1,dQ_Life,8.889912276304557e-5,4.9587825264652e-5,1.3708017430058561e-5,3.951006092495213e-4
Vac_50,50,RZV_2d,2024,1,dQ_HZ,0.010324600418737787,0.008414412927036227,0.004067896789168254,0.026826381244384977
Vac_50,50,RZV_2d,2024,1,dQ_HZ_Norm,0.0049003993099219646,0.004069831671264187,0.0013823844818760614,0.012191069259451395
Vac_50,50,RZV_2d,2024,1,dQ_All,0.010412697037184901,0.008463642730706766,0.004087847962622071,0.02720103081345444
Vac_50,50,RZV_2d,2024,1,dQ_HZ_d,0.010324600418737787,0.008414412927036227,0.004067896789168254,0.026826381244384977
Vac_50,50,RZV_2d,2024,1,dQ_HZ_Norm_d,0.0049003993099219646,0.004069831671264187,0.0013823844818760614,0.012191069259451395
Vac_50,50,RZV_2d,2024,1,dQ_Life_d,8.889912276304557e-5,4.9587825264652e-5,1.3708017430058561e-5,3.951006092495213e-4
Vac_50,50,RZV_2d,2024,1,dQ_All_d,0.01041349954150089,0.008463876450718999,0.004087882459470648,0.027205959658569066
Vac_50,50,RZV_2d,2024,1,dC_Hosp,-3.7955751805775932,-1.8972259149941362,-17.73015004294602,-0.5859053693996423
Vac_50,50,RZV_2d,2024,1,dC_GP_NonPHN,-6.712579534020157,-5.633537239308229,-15.257050195178893,-3.461956801354704
Vac_50,50,RZV_2d,2024,1,dC_GP_PHN,-1.4884909190818703,-1.0983302152553165,-4.444677701976513,-0.547640006449299
Vac_50,50,RZV_2d,2024,1,dC_GP,-8.201070453102027,-6.723929515273015,-19.562107052992143,-4.028758151355241
Vac_50,50,RZV_2d,2024,1,dC_Med,-11.99664563367962,-8.6672362982399,-37.776814838360906,-4.610359185112767
Vac_50,50,RZV_2d,2024,1,dC_VacZVL,0,0,0,0
Vac_50,50,RZV_2d,2024,1,dC_VacRZV,170,170,170,170
Vac_50,50,RZV_2d,2024,1,dC_Vac,170,170,170,170
Vac_50,50,RZV_2d,2024,1,dC_All,158.00335436632037,161.3327637017601,132.2231851616391,165.38964081488723
Vac_50,50,RZV_2d,2024,1,dC_Hosp_d,-3.7955751805775932,-1.8972259149941362,-17.73015004294602,-0.5859053693996423
Vac_50,50,RZV_2d,2024,1,dC_GP_NonPHN_d,-6.712579534020157,-5.633537239308229,-15.257050195178893,-3.461956801354704
Vac_50,50,RZV_2d,2024,1,dC_GP_PHN_d,-1.4884909190818703,-1.0983302152553165,-4.444677701976513,-0.547640006449299
Vac_50,50,RZV_2d,2024,1,dC_GP_d,-8.201070453102027,-6.723929515273015,-19.562107052992143,-4.028758151355241
Vac_50,50,RZV_2d,2024,1,dC_Med_d,-11.99664563367962,-8.6672362982399,-37.776814838360906,-4.610359185112767
Vac_50,50,RZV_2d,2024,1,dC_VacZVL_d,0,0,0,0
Vac_50,50,RZV_2d,2024,1,dC_VacRZV_d,170,170,170,170
Vac_50,50,RZV_2d,2024,1,dC_Vac_d,170,170,170,170
Vac_50,50,RZV_2d,2024,1,dC_All_d,158.00335436632037,161.3327637017601,132.2231851616391,165.38964081488723
Vac_50,50,RZV_2d,2024,1,dN_VacZVL,0,0,0,0
Vac_50,50,RZV_2d,2024,1,dN_VacRZV,2,2,2,2
Vac_50,50,RZV_2d,2024,1,dN_VacZVL_d,0,0,0,0
Vac_50,50,RZV_2d,2024,1,dN_VacRZV_d,2,2,2,2
Vac_50,50,RZV_2d,2024,1,ICER,19843.466003767717,18908.030428157068,4849.454524857644,40552.73505608842
