Scenario,Age0,Arm,Year0,N0,Index,A,M,L,U
Vac_50,50,RZV_1d,2024,1,dYear_Life,1.7107303758841396e-4,9.340838372295934e-5,2.5473214674320846e-5,6.600166445307919e-4
Vac_50,50,RZV_1d,2024,1,dYear_Immunised,14.833771518490302,13.240292581688877,8.771290692353183,27.267922144414033
Vac_50,50,RZV_1d,2024,1,dRisk_HZ,-0.08690974970124116,-0.07269526547443425,-0.1878379052181161,-0.04251584049552504
Vac_50,50,RZV_1d,2024,1,dRisk_Hosp,-0.0013619970543497194,-7.817672433656372e-4,-0.0050737338912455725,-2.629214038481544e-4
Vac_50,50,RZV_1d,2024,1,dRisk_PHN,-0.004262577202209943,-0.0031876201990166907,-0.011605855919546567,-0.0014618337212774155
Vac_50,50,RZV_1d,2024,1,dRisk_Death,-2.5873861323416337e-7,-1.2303863824569922e-7,-1.0226749847525124e-6,-1.5184348720712344e-8
Vac_50,50,RZV_1d,2024,1,dQ_Life,1.2106542102510431e-4,6.746516238997913e-5,1.9078062564936714e-5,4.620718675338864e-4
Vac_50,50,RZV_1d,2024,1,dQ_HZ,0.01228680391160304,0.010125264864543865,0.004657104529615144,0.03048187548721003
Vac_50,50,RZV_1d,2024,1,dQ_HZ_Norm,0.005527884778812462,0.004617302016037313,0.0016519388481872049,0.014076748833557997
Vac_50,50,RZV_1d,2024,1,dQ_All,0.012406728778958065,0.010198815415561668,0.004676561098369359,0.03087966412120053
Vac_50,50,RZV_1d,2024,1,dQ_HZ_d,0.009908897495011873,0.00853450178733939,0.004139564961858406,0.02236849014744079
Vac_50,50,RZV_1d,2024,1,dQ_HZ_Norm_d,0.004552129479566564,0.003926593465870967,0.0014704727733743054,0.010812673600132364
Vac_50,50,RZV_1d,2024,1,dQ_Life_d,7.27817673158988e-5,4.285303975493093e-5,1.2916373645577296e-5,2.6504949142447387e-4
Vac_50,50,RZV_1d,2024,1,dQ_All_d,0.009981679262327795,0.008581947485136965,0.004157541380177055,0.02266359417572179
Vac_50,50,RZV_1d,2024,1,dC_Hosp,-5.188587794348562,-2.7465283704108234,-20.70898278604625,-0.7641547516916516
Vac_50,50,RZV_1d,2024,1,dC_GP_NonPHN,-8.352420653663561,-7.0747349342881405,-17.570454983102994,-4.172848666948977
Vac_50,50,RZV_1d,2024,1,dC_GP_PHN,-1.9208623109560123,-1.4345346633494929,-5.159631706969726,-0.6632125342747832
Vac_50,50,RZV_1d,2024,1,dC_GP,-10.273282964619572,-8.473407633518343,-22.736382474430535,-4.858846700772828
Vac_50,50,RZV_1d,2024,1,dC_Med,-15.461870758968136,-11.266052843990042,-43.22817816302885,-5.5922268953296825
Vac_50,50,RZV_1d,2024,1,dC_VacZVL,0,0,0,0
Vac_50,50,RZV_1d,2024,1,dC_VacRZV,85,85,85,85
Vac_50,50,RZV_1d,2024,1,dC_Vac,85,85,85,85
Vac_50,50,RZV_1d,2024,1,dC_All,69.53812924103187,73.73394715600998,41.77182183697114,79.4077731046703
Vac_50,50,RZV_1d,2024,1,dC_Hosp_d,-3.465554089387557,-1.9831296682863622,-12.989218052602684,-0.6459472597040175
Vac_50,50,RZV_1d,2024,1,dC_GP_NonPHN_d,-6.837878250552788,-5.9840807744512645,-13.190274536691494,-3.772954436775131
Vac_50,50,RZV_1d,2024,1,dC_GP_PHN_d,-1.4699623512874547,-1.1500752124704055,-3.6103664151605197,-0.5795086895498514
Vac_50,50,RZV_1d,2024,1,dC_GP_d,-8.307840601840242,-7.136989299710471,-16.836693355500053,-4.360867075988717
Vac_50,50,RZV_1d,2024,1,dC_Med_d,-11.7733946912278,-9.121918732662488,-29.626419533273655,-5.017037481152702
Vac_50,50,RZV_1d,2024,1,dC_VacZVL_d,0,0,0,0
Vac_50,50,RZV_1d,2024,1,dC_VacRZV_d,85,85,85,85
Vac_50,50,RZV_1d,2024,1,dC_Vac_d,85,85,85,85
Vac_50,50,RZV_1d,2024,1,dC_All_d,73.226605308772207,75.8780812673375,55.373580466726345,79.9829625188473
Vac_50,50,RZV_1d,2024,1,dN_VacZVL,0,0,0,0
Vac_50,50,RZV_1d,2024,1,dN_VacRZV,1,1,1,1
Vac_50,50,RZV_1d,2024,1,dN_VacZVL_d,0,0,0,0
Vac_50,50,RZV_1d,2024,1,dN_VacRZV_d,1,1,1,1
