Scenario,Age0,Arm,Index,A,M,L,U
Vac_50,50,RZV_1d,N0,1,1,1,1
Vac_50,50,RZV_1d,Year0,2024,2024,2024,2024
Vac_50,50,RZV_1d,Year_Life,33.811355173747025,33.81129174104514,33.811153276509636,33.8118411629404
Vac_50,50,RZV_1d,Year_Immunised,14.833771518490302,13.240292581688877,8.771290692353183,27.267922144414033
Vac_50,50,RZV_1d,Risk_HZ,0.1483344094751821,0.1622623086730154,0.04702834485568275,0.19315697671972726
Vac_50,50,RZV_1d,Risk_Hosp,0.00513303364312624,0.005574737442328845,0.0014158347884678122,0.006760470229660865
Vac_50,50,RZV_1d,Risk_PHN,0.010443094208984333,0.011497920590974094,0.003091846165384751,0.013445893421448444
Vac_50,50,RZV_1d,Risk_Death,8.052660272915302e-7,9.210723635580417e-7,5.764518449235318e-8,1.1457307961720616e-6
Vac_50,50,RZV_1d,Q_Life,26.508839349280525,26.508794768492645,26.508698820689,26.50917491848111
Vac_50,50,RZV_1d,Q_HZ,-0.02221213049754174,-0.022561901131893845,-0.037586224970466334,-0.0064705444229825
Vac_50,50,RZV_1d,Q_HZ_Norm,-0.008644310260404034,-0.008208082345128752,-0.01858803558007292,-0.0020183476946892226
Vac_50,50,RZV_1d,Q_All,26.46939980539252,26.469046450732897,26.453983700773804,26.48545623656188
Vac_50,50,RZV_1d,Q_HZ_d,-0.015315749917130906,-0.015482651041530422,-0.02584547813057311,-0.004641349084092027
Vac_50,50,RZV_1d,Q_HZ_Norm_d,-0.006103517250545595,-0.0057527709122238545,-0.013040985950364323,-0.00150896717301138
Vac_50,50,RZV_1d,Q_Life_d,20.67549181742784,20.675467047111756,20.67541127212638,20.675680436567735
Vac_50,50,RZV_1d,Q_All_d,20.660176067510708,20.65997258898366,20.649584122630475,20.671039079323073
Vac_50,50,RZV_1d,C_Hosp,21.502371144660913,23.31586734986496,5.759303071502281,28.353394947345045
Vac_50,50,RZV_1d,C_GP_NonPHN,13.64993987242687,14.9337168744858,4.392031324852869,17.84469593950527
Vac_50,50,RZV_1d,C_GP_PHN,4.607142321878447,5.031023579400006,1.3540035520776892,6.041668331858826
Vac_50,50,RZV_1d,C_GP,18.257082194305315,19.971357398435682,5.72606961666461,23.69528573743034
Vac_50,50,RZV_1d,C_Med,39.75945333896623,43.60335315436134,11.882210103716458,50.883598685069046
Vac_50,50,RZV_1d,C_VacZVL,0,0,0,0
Vac_50,50,RZV_1d,C_VacRZV,85,85,85,85
Vac_50,50,RZV_1d,C_Vac,85,85,85,85
Vac_50,50,RZV_1d,C_All,124.75945333896622,128.60335315436134,96.88221010371647,135.88359868506905
Vac_50,50,RZV_1d,C_Hosp_d,13.070041418634112,14.187554020311065,3.5837504301117074,17.21821148672216
Vac_50,50,RZV_1d,C_GP_NonPHN_d,9.560710264696514,10.38333450912312,3.1921019697309174,12.619322691943315
Vac_50,50,RZV_1d,C_GP_PHN_d,3.081559047821704,3.358810483995624,0.9359100791469687,4.058633732747117
Vac_50,50,RZV_1d,C_GP_d,12.642269312518218,13.755539986306696,4.119159002940815,16.585156893087436
Vac_50,50,RZV_1d,C_Med_d,25.71231073115233,28.175842074911746,7.946569403071433,33.073927249957116
Vac_50,50,RZV_1d,C_VacZVL_d,0,0,0,0
Vac_50,50,RZV_1d,C_VacRZV_d,85,85,85,85
Vac_50,50,RZV_1d,C_Vac_d,85,85,85,85
Vac_50,50,RZV_1d,C_All_d,110.71231073115233,113.17584207491174,92.94656940307144,118.0739272499571
Vac_50,50,RZV_1d,N_VacZVL,0,0,0,0
Vac_50,50,RZV_1d,N_VacRZV,1,1,1,1
Vac_50,50,RZV_1d,N_VacZVL_d,0,0,0,0
Vac_50,50,RZV_1d,N_VacRZV_d,1,1,1,1
Vac_50,50,RZV_2d,N0,1,1,1,1
Vac_50,50,RZV_2d,Year0,2024,2024,2024,2024
Vac_50,50,RZV_2d,Year_Life,33.81140726915405,33.811333641276235,33.811169909205425,33.811907482056085
Vac_50,50,RZV_2d,Year_Immunised,17.733887754243284,16.21782228162972,10.772507238531531,29.777579595877473
Vac_50,50,RZV_2d,Risk_HZ,0.1287478635174666,0.14221966451804083,0.02951118322340064,0.18191339579270774
Vac_50,50,RZV_2d,Risk_Hosp,0.004733448007455802,0.005260084028161327,8.874906836194805e-4,0.006586850512028019
Vac_50,50,RZV_2d,Risk_PHN,0.009320535982361135,0.01038426630228567,0.0019222464076080932,0.012928358373562196
Vac_50,50,RZV_2d,Risk_Death,7.347998827052082e-7,8.636820050631958e-7,2.4895915261824673e-8,1.1190324307561977e-6
Vac_50,50,RZV_2d,Q_Life,26.50887603028846,26.508824502584943,26.50871202772327,26.50922084535027
Vac_50,50,RZV_2d,Q_HZ,-0.01937871809005517,-0.019883951162841244,-0.034723088678939446,-0.004066332491775923
Vac_50,50,RZV_2d,Q_HZ_Norm,-0.007434997105206711,-0.006977026354675018,-0.01705295607116392,-0.0012672880273173954
Vac_50,50,RZV_2d,Q_All,26.472269539133336,26.47170020417939,26.45684445367962,26.48791069585638
Vac_50,50,RZV_2d,Q_HZ_d,-0.013170305076095432,-0.013428991605115678,-0.023656744471652193,-0.0028737270611899094
Vac_50,50,RZV_2d,Q_HZ_Norm_d,-0.005169131246912193,-0.004851073707134101,-0.012033183634924406,-9.411233478412862e-4
Vac_50,50,RZV_2d,Q_Life_d,20.675513513056583,20.67548488304145,20.67542054503392,20.675707517595946
Vac_50,50,RZV_2d,Q_All_d,20.662343207980484,20.662038789062784,20.651846950366128,20.672813318504396
Vac_50,50,RZV_2d,C_Hosp,19.928890025237273,22.174108243121516,3.6165398901733528,27.706123783690497
Vac_50,50,RZV_2d,C_GP_NonPHN,11.792977209464167,12.96104549911599,2.7087216591806773,16.737749005001817
