Scenario,Age0,Arm,Index,A,M,L,U
Vac_50,50,RZV_1d,N0,1,1,1,1
Vac_50,50,RZV_1d,Year0,2024,2024,2024,2024
Vac_50,50,RZV_1d,Year_Life,33.81127363294591,33.81124640959078,33.811122743001135,33.8116302823474
Vac_50,50,RZV_1d,Year_Immunised,9.352988756929749,8.155833384839054,5.390134803558301,19.456265778900292
Vac_50,50,RZV_1d,Risk_HZ,0.1830721483869671,0.19343114319796423,0.1038513524020515,0.21096597492598426
Vac_50,50,RZV_1d,Risk_Hosp,0.005768311259686246,0.005976201983763043,0.0030911546830565666,0.006915748973108018
Vac_50,50,RZV_1d,Risk_PHN,0.012296107879166941,0.012930071318130282,0.006361159815477116,0.014251956978879191
Vac_50,50,RZV_1d,Risk_Death,9.197125062595622e-7,9.84391237075641e-7,2.4384814076182284e-7,1.172228675532535e-6
Vac_50,50,RZV_1d,Q_Life,26.508781865320017,26.508764032779403,26.508677221890334,26.50902776558263
Vac_50,50,RZV_1d,Q_HZ,-0.027281364887485886,-0.02744957043105658,-0.042164390098629045,-0.01240894349613947
Vac_50,50,RZV_1d,Q_HZ_Norm,-0.011007417222942247,-0.010377693605601045,-0.021555748842243753,-0.003649663678916234
Vac_50,50,RZV_1d,Q_All,26.46427366467565,26.464081049144887,26.449372187612347,26.479304665305214
Vac_50,50,RZV_1d,Q_HZ_d,-0.012675579478792566,-0.012628632038295843,-0.01947266056865209,-0.00604700911132713
Vac_50,50,RZV_1d,Q_HZ_Norm_d,-0.005414857760030804,-0.0050961281427136336,-0.010565583508326655,-0.001871018077418434
Vac_50,50,RZV_1d,Q_Life_d,15.575353495512687,15.575348739282667,15.575322474046882,15.57541998835219
Vac_50,50,RZV_1d,Q_All_d,15.562677916033893,15.562721871562973,15.555867350530145,15.569350379823927
Vac_50,50,RZV_1d,C_Hosp,23.974656120955434,24.83023931201616,12.725535562616983,28.812061246062374
Vac_50,50,RZV_1d,C_GP_NonPHN,16.965153076039133,17.912986267923827,9.616099964149567,19.598788792539494
Vac_50,50,RZV_1d,C_GP_PHN,5.446893614319839,5.6972573046710195,2.843080106867999,6.438486775472211
Vac_50,50,RZV_1d,C_GP,22.41204669035897,23.6723788740281,12.42905465819914,25.778272485055584
Vac_50,50,RZV_1d,C_Med,46.38670281131441,48.56593984957814,25.45580046390259,53.74979015395907
Vac_50,50,RZV_1d,C_VacZVL,0,0,0,0
Vac_50,50,RZV_1d,C_VacRZV,85,85,85,85
Vac_50,50,RZV_1d,C_Vac,85,85,85,85
Vac_50,50,RZV_1d,C_All,131.3867028113144,133.56593984957814,110.45580046390259,138.74979015395905
Vac_50,50,RZV_1d,C_Hosp_d,7.936523125848581,8.220328487910834,4.24423608311561,9.51862559670662
Vac_50,50,RZV_1d,C_GP_NonPHN_d,8.195288555882595,8.586294515148756,4.837352044727695,9.648830893962172
Vac_50,50,RZV_1d,C_GP_PHN_d,2.308289480021207,2.4083636552477987,1.255424054887057,2.737628012201005
Vac_50,50,RZV_1d,C_GP_d,10.503578035903802,11.024906918269998,6.134447296499142,12.306422162559798
Vac_50,50,RZV_1d,C_Med_d,18.440101161752384,19.377160897951207,10.469113813814868,21.382635809093067
Vac_50,50,RZV_1d,C_VacZVL_d,0,0,0,0
Vac_50,50,RZV_1d,C_VacRZV_d,85,85,85,85
Vac_50,50,RZV_1d,C_Vac_d,85,85,85,85
Vac_50,50,RZV_1d,C_All_d,103.44010116175238,104.3771608979512,95.46911381381487,106.38263580909307
Vac_50,50,RZV_1d,N_VacZVL,0,0,0,0
Vac_50,50,RZV_1d,N_VacRZV,1,1,1,1
Vac_50,50,RZV_1d,N_VacZVL_d,0,0,0,0
Vac_50,50,RZV_1d,N_VacRZV_d,1,1,1,1
Vac_50,50,RZV_2d,N0,1,1,1,1
Vac_50,50,RZV_2d,Year0,2024,2024,2024,2024
Vac_50,50,RZV_2d,Year_Life,33.81131166775609,33.811268639744014,33.811137576477165,33.811743795099446
Vac_50,50,RZV_2d,Year_Immunised,12.214833783453445,10.773874033779201,7.291266208088181,23.635909032010094
Vac_50,50,RZV_2d,Risk_HZ,0.16541578114424074,0.1780094458296863,0.07253891176885817,0.20157131748713386
Vac_50,50,RZV_2d,Risk_Hosp,0.005469825630276714,0.005784868189635733,0.0021863814447034297,0.006795958906115649
Vac_50,50,RZV_2d,Risk_PHN,0.011385642709385073,0.012254046868262085,0.004442929404542449,0.013856392529917072
Vac_50,50,RZV_2d,Risk_Death,8.651930234025419e-7,9.536556582691159e-7,1.249848600646499e-7,1.1493385172906795e-6
Vac_50,50,RZV_2d,Q_Life,26.508808762293974,26.50877930000538,26.50868771011077,26.509106406368474
Vac_50,50,RZV_2d,Q_HZ,-0.02475418992274486,-0.02491282780693608,-0.0394844143477703,-0.009178371554823575
Vac_50,50,RZV_2d,Q_HZ_Norm,-0.009867163178682227,-0.009282986682063059,-0.02024121622273065,-0.0026530023949056874
Vac_50,50,RZV_2d,Q_All,26.466827486606896,26.466716513443142,26.452076414166086,26.482672884821046
Vac_50,50,RZV_2d,Q_HZ_d,-0.011160831740500088,-0.011162672516371878,-0.0178620370260813,-0.00439607449242982
Vac_50,50,RZV_2d,Q_HZ_Norm_d,-0.0047026338618309385,-0.004433792234491035,-0.009594567554805623,-0.0013175405264308306
Vac_50,50,RZV_2d,Q_Life_d,15.575361961920148,15.575354207311268,15.575326046371014,15.575442122310049
Vac_50,50,RZV_2d,Q_All_d,15.564201130179647,15.564212469930602,15.557479494567817,15.571032380478833
Vac_50,50,RZV_2d,C_Hosp,22.827241352870736,24.12485267491366,8.976704900499195,28.33991947438582
Vac_50,50,RZV_2d,C_GP_NonPHN,15.275380552295898,16.421201807191686,6.710114097266592,18.665881065502138
