Price,Arm,PrCE20,PrCE30
0,Vac1,1,1
5,Vac1,1,1
10,Vac1,1,1
15,Vac1,1,1
20,Vac1,1,1
25,Vac1,1,1
30,Vac1,1,1
35,Vac1,1,1
40,Vac1,1,1
45,Vac1,1,1
50,Vac1,1,1
55,Vac1,1,1
60,Vac1,1,1
65,Vac1,1,1
70,Vac1,1,1
75,Vac1,1,1
80,Vac1,1,1
85,Vac1,1,1
90,Vac1,1,1
95,Vac1,1,1
100,Vac1,1,1
105,Vac1,1,1
110,Vac1,1,1
115,Vac1,1,1
120,Vac1,1,1
125,Vac1,1,1
130,Vac1,1,1
135,Vac1,1,1
140,Vac1,1,1
145,Vac1,1,1
150,Vac1,1,1
155,Vac1,1,1
160,Vac1,0.9995,1
165,Vac1,0.999,1
170,Vac1,0.9985,1
175,Vac1,0.995,1
180,Vac1,0.9945,1
185,Vac1,0.9915,1
190,Vac1,0.986,1
195,Vac1,0.977,1
200,Vac1,0.9685,1
205,Vac1,0.956,1
210,Vac1,0.9345,1
215,Vac1,0.912,1
220,Vac1,0.8875,1
225,Vac1,0.861,1
230,Vac1,0.8245,1
235,Vac1,0.791,0.999
240,Vac1,0.759,0.999
245,Vac1,0.725,0.999
250,Vac1,0.6905,0.9965
255,Vac1,0.6515,0.995
260,Vac1,0.6105,0.9945
265,Vac1,0.5725,0.994
270,Vac1,0.535,0.99
275,Vac1,0.501,0.987
280,Vac1,0.468,0.982
285,Vac1,0.434,0.976
290,Vac1,0.409,0.971
295,Vac1,0.3795,0.9605
300,Vac1,0.3525,0.951
0,Vac2,1,1
5,Vac2,1,1
10,Vac2,1,1
15,Vac2,1,1
20,Vac2,1,1
25,Vac2,1,1
30,Vac2,1,1
35,Vac2,1,1
40,Vac2,1,1
45,Vac2,1,1
50,Vac2,1,1
55,Vac2,1,1
60,Vac2,1,1
65,Vac2,1,1
70,Vac2,1,1
75,Vac2,1,1
80,Vac2,1,1
85,Vac2,1,1
90,Vac2,1,1
95,Vac2,1,1
100,Vac2,0.999,1
105,Vac2,0.997,1
110,Vac2,0.994,1
115,Vac2,0.987,1
120,Vac2,0.9765,1
125,Vac2,0.9505,1
130,Vac2,0.914,1
135,Vac2,0.8635,1
140,Vac2,0.8115,0.9995
145,Vac2,0.745,0.999
150,Vac2,0.68,0.9985
155,Vac2,0.6115,0.9965
160,Vac2,0.5415,0.994
165,Vac2,0.479,0.991
170,Vac2,0.417,0.9825
175,Vac2,0.3585,0.9755
180,Vac2,0.3145,0.958
185,Vac2,0.268,0.932
190,Vac2,0.225,0.906
195,Vac2,0.1775,0.872
200,Vac2,0.141,0.8395
205,Vac2,0.1055,0.796
210,Vac2,0.073,0.7485
215,Vac2,0.051,0.7075
220,Vac2,0.0315,0.6615
225,Vac2,0.0165,0.6115
230,Vac2,0.0105,0.568
235,Vac2,0.0035,0.5155
240,Vac2,0.002,0.478
245,Vac2,0,0.432
250,Vac2,0,0.389
255,Vac2,0,0.3505
260,Vac2,0,0.321
265,Vac2,0,0.289
270,Vac2,0,0.2565
275,Vac2,0,0.229
280,Vac2,0,0.1935
285,Vac2,0,0.166
290,Vac2,0,0.1395
295,Vac2,0,0.115
300,Vac2,0,0.0905
