Scenario,Arm,Age0,Age1,Index,A,M,L,U
Overall,ReRZV_1d,70,80,N0,1,1,1,1
Overall,ReRZV_1d,70,80,Year0,2024,2024,2024,2024
Overall,ReRZV_1d,70,80,Year_Life,16.74364676098119,16.74364757321069,16.74354605761023,16.743742630544574
Overall,ReRZV_1d,70,80,Year_Immunised,10.685501998132207,10.674775748595444,9.631936867276933,11.74521131640981
Overall,ReRZV_1d,70,80,Risk_HZ,0.0541716284279856,0.05425364431986349,0.04436712375769922,0.063930992702514
Overall,ReRZV_1d,70,80,Risk_Hosp,0.0025231202281403506,0.0025316482356482362,0.0016775762315633068,0.0033679898465933528
Overall,ReRZV_1d,70,80,Risk_PHN,0.004420105742045993,0.004417939263293386,0.003511234651445609,0.005354649244022648
Overall,ReRZV_1d,70,80,Risk_Death,2.260892095869927e-7,2.2305957355410706e-7,8.662467579327945e-8,4.062935031424761e-7
Overall,ReRZV_1d,70,80,Q_Life,12.681016549378056,12.681017374422357,12.680949678453377,12.681080037536091
Overall,ReRZV_1d,70,80,Q_HZ,-0.007760450578207628,-0.007722136506686616,-0.00957850887332661,-0.006081019169912707
Overall,ReRZV_1d,70,80,Q_HZ_Norm,-0.002484472609691298,-0.002473032274076714,-0.0030325475428672837,-0.0019832402898853304
Overall,ReRZV_1d,70,80,Q_All,12.653584487772733,12.6536253788105,12.651712244772318,12.655299820404835
Overall,ReRZV_1d,70,80,Q_HZ_d,-0.007760450578207628,-0.007722136506686616,-0.00957850887332661,-0.006081019169912707
Overall,ReRZV_1d,70,80,Q_HZ_Norm_d,-0.002484472609691298,-0.002473032274076714,-0.0030325475428672837,-0.0019832402898853304
Overall,ReRZV_1d,70,80,Q_Life_d,12.681016549378056,12.681017374422357,12.680949678453377,12.681080037536091
Overall,ReRZV_1d,70,80,Q_All_d,12.673256098799849,12.673295689326757,12.671381622201183,12.674971354633948
Overall,ReRZV_1d,70,80,C_Hosp,10.906096364146425,10.925376150146697,7.043558537597259,14.833285100841373
Overall,ReRZV_1d,70,80,C_GP_NonPHN,6.038464718756813,6.03976310090675,4.971053912247492,7.109387905722851
Overall,ReRZV_1d,70,80,C_GP_PHN,2.4064349807362735,2.4037886522905083,1.9149852036866593,2.9274998184928935
Overall,ReRZV_1d,70,80,C_GP,8.444899699493085,8.45774960098072,6.907773038109099,9.973905558450664
Overall,ReRZV_1d,70,80,C_Med,19.35099606363951,19.380029370627174,14.138550023186607,24.393051970011452
Overall,ReRZV_1d,70,80,C_VacZVL,110,110,110,110
Overall,ReRZV_1d,70,80,C_VacRZV,68.66206172328035,68.66206559899743,68.66193898107316,68.66216497394237
Overall,ReRZV_1d,70,80,C_Vac,178.66206172328035,178.66206559899743,178.66193898107315,178.6621649739424
Overall,ReRZV_1d,70,80,C_All,198.01305778691986,198.04197872891476,192.80068606720187,203.05513560401133
