Scenario,Age0,Age1,Arm,Year0,N0,Index,A,M,L,U
Overall,70,80,ReRZV_1d,2024,1,N0,1,1,1,1
Overall,70,80,ReRZV_1d,2024,1,dYear_Life,5.423546207013974e-4,5.398646117669159e-4,4.35934983922337e-4,6.648033160820964e-4
Overall,70,80,ReRZV_1d,2024,1,dYear_Immunised,10.693334478521008,10.703535511909664,9.609897963102956,11.751328881337754
Overall,70,80,ReRZV_1d,2024,1,dRisk_HZ,-0.09511280935010544,-0.0951907376076285,-0.10496723724501872,-0.08521301967676147
Overall,70,80,ReRZV_1d,2024,1,dRisk_Hosp,-0.004031916586101018,-0.0040025660756685105,-0.00511460295730623,-0.0031246520703712504
Overall,70,80,ReRZV_1d,2024,1,dRisk_PHN,-0.007718117738613421,-0.007720722367238186,-0.008753119711124512,-0.006693946755997309
Overall,70,80,ReRZV_1d,2024,1,dRisk_Death,-9.593621034395175e-7,-9.565488830259781e-7,-1.1814364649707681e-6,-7.573675597537364e-7
Overall,70,80,ReRZV_1d,2024,1,dQ_Life,3.7432331392488026e-4,3.7278264314100085e-4,3.022948600203801e-4,4.5576050896474203e-4
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ,0.013377027479180523,0.013306610234863347,0.01138767935485463,0.015869725981923183
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_Norm,0.004366925611050559,0.004348082227828393,0.0037266033068508223,0.0050830451988130585
Overall,70,80,ReRZV_1d,2024,1,dQ_All,0.013746526481851285,0.013678085938223283,0.011715672825660484,0.016286166747015284
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_d,0.011588464713049373,0.011526054933251376,0.009948623250166756,0.013630376716278148
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_Norm_d,0.0038211434150862435,0.003809401057324085,0.003283423822141533,0.0044233744815928904
Overall,70,80,ReRZV_1d,2024,1,dQ_Life_d,2.833084366316232e-4,2.8228898278559456e-4,2.3026851099010594e-4,3.4154973895454964e-4
Overall,70,80,ReRZV_1d,2024,1,dQ_All_d,0.01187177314968099,0.011802858398811011,0.01019926677702232,0.01394538972059336
Overall,70,80,ReRZV_1d,2024,1,dC_Hosp,-17.104477001019816,-16.98138670494727,-21.96771700502212,-13.10473693031608
Overall,70,80,ReRZV_1d,2024,1,dC_GP_NonPHN,-8.58234294889118,-8.592150641484334,-9.449116993373028,-7.694061079958876
Overall,70,80,ReRZV_1d,2024,1,dC_GP_PHN,-3.398128341453775,-3.398126262169168,-3.898771068728489,-2.925185777617033
Overall,70,80,ReRZV_1d,2024,1,dC_GP,-11.980471290344955,-11.988198003465955,-13.240190497751053,-10.731947888302933
Overall,70,80,ReRZV_1d,2024,1,dC_Med,-29.084948291364768,-28.960467197519854,-34.67708374889476,-24.085645829120242
Overall,70,80,ReRZV_1d,2024,1,dC_VacZVL,110,110,110,110
Overall,70,80,ReRZV_1d,2024,1,dC_VacRZV,68.66206146722354,68.66206378870271,68.66194292007305,68.66216478925031
Overall,70,80,ReRZV_1d,2024,1,dC_Vac,178.66206146722354,178.6620637887027,178.66194292007302,178.66216478925034
Overall,70,80,ReRZV_1d,2024,1,dC_All,149.57711317585878,149.7016131294773,143.9850449456218,154.57639107004735
Overall,70,80,ReRZV_1d,2024,1,dC_Hosp_d,-13.955259217615831,-13.872470527502319,-17.594052627015888,-10.86177910700735
Overall,70,80,ReRZV_1d,2024,1,dC_GP_NonPHN_d,-7.512645939962085,-7.51765336910762,-8.191242381697602,-6.82084113642835
Overall,70,80,ReRZV_1d,2024,1,dC_GP_PHN_d,-2.9363090434414985,-2.9391975268060757,-3.3499100110654987,-2.5485306619015304
Overall,70,80,ReRZV_1d,2024,1,dC_GP_d,-10.448954983403583,-10.460610041533393,-11.444788694436719,-9.453363625935365
