Scenario,Age0,Arm,Year0,N0,Index,A,M,L,U
Vac_50,50,RZV_1d,2024,1,dYear_Life,1.724687567678842e-4,9.812571332545872e-5,2.4930408207168853e-5,6.529181980116758e-4
Vac_50,50,RZV_1d,2024,1,dYear_Immunised,14.877420587953926,13.254182531139293,8.726010056354301,26.846441225090853
Vac_50,50,RZV_1d,2024,1,dRisk_HZ,-0.08730236103398953,-0.07352428617560212,-0.18540674475688135,-0.04220899005979189
Vac_50,50,RZV_1d,2024,1,dRisk_Hosp,-0.0013680527961237217,-7.98410089555951e-4,-0.005044962617369654,-2.5914611764896514e-4
Vac_50,50,RZV_1d,2024,1,dRisk_PHN,-0.004294618953050136,-0.003216260371735438,-0.011658595997820586,-0.0014371402905180481
Vac_50,50,RZV_1d,2024,1,dRisk_Death,-2.6355276040696016e-7,-1.3102288466631116e-7,-1.0120415305301733e-6,-1.4459253290415439e-8
Vac_50,50,RZV_1d,2024,1,dQ_Life,1.2204133510290305e-4,7.091336535225423e-5,1.866513124797464e-5,4.5246224397752497e-4
Vac_50,50,RZV_1d,2024,1,dQ_HZ,0.010524834511183781,0.008580133090198068,0.004632097525756965,0.02435912980943939
Vac_50,50,RZV_1d,2024,1,dQ_HZ_Norm,0.0044398571397836475,0.0037965776324553942,0.0022572055445761203,0.009148469191926549
Vac_50,50,RZV_1d,2024,1,dQ_All,0.010645728968537355,0.00864259781922705,0.004653324540826631,0.02475124992315542
Vac_50,50,RZV_1d,2024,1,dQ_HZ_d,0.008415282503599408,0.007162561625414037,0.004148058269173054,0.017734763359403247
Vac_50,50,RZV_1d,2024,1,dQ_HZ_Norm_d,0.00365070333703115,0.0032349346179312392,0.002034160567697077,0.006888481801087188
Vac_50,50,RZV_1d,2024,1,dQ_Life_d,7.334130950087214e-5,4.4636182753521325e-5,1.2906937753154324e-5,2.6084520089453267e-4
Vac_50,50,RZV_1d,2024,1,dQ_All_d,0.008488623813100313,0.007207927790247481,0.004162739604972199,0.017982318804572104
Vac_50,50,RZV_1d,2024,1,dC_Hosp,-5.212800687719741,-2.7781540960732123,-20.76560203058012,-0.7439438379554922
Vac_50,50,RZV_1d,2024,1,dC_GP_NonPHN,-8.384354080471322,-7.11986395390662,-17.398950429289286,-4.160592398909865
Vac_50,50,RZV_1d,2024,1,dC_GP_PHN,-1.9380825995154969,-1.4607692899312212,-5.20610545122604,-0.6558001340260635
Vac_50,50,RZV_1d,2024,1,dC_GP,-10.322436679986819,-8.580870583194399,-22.617616551227847,-4.830883732997406
Vac_50,50,RZV_1d,2024,1,dC_Med,-15.535237367706559,-11.389603618004475,-43.4197957619739,-5.594716126246649
Vac_50,50,RZV_1d,2024,1,dC_VacZVL,0,0,0,0
Vac_50,50,RZV_1d,2024,1,dC_VacRZV,85,85,85,85
Vac_50,50,RZV_1d,2024,1,dC_Vac,85,85,85,85
Vac_50,50,RZV_1d,2024,1,dC_All,69.46476263229344,73.61039638199554,41.58020423802609,79.40528387375335
Vac_50,50,RZV_1d,2024,1,dC_Hosp_d,-3.4814040203252867,-2.021137607701288,-12.886588809009334,-0.6342223584561449
Vac_50,50,RZV_1d,2024,1,dC_GP_NonPHN_d,-6.86061141201691,-6.016041543499958,-13.021553793569167,-3.7463699575364267
Vac_50,50,RZV_1d,2024,1,dC_GP_PHN_d,-1.481957428019407,-1.1723348020729827,-3.6524845611343695,-0.5794141206776032
Vac_50,50,RZV_1d,2024,1,dC_GP_d,-8.342568840036318,-7.184643879265453,-16.713464444111413,-4.342183982421004
Vac_50,50,RZV_1d,2024,1,dC_Med_d,-11.823972860361604,-9.234323519768292,-29.481193303240808,-5.001530039776069
Vac_50,50,RZV_1d,2024,1,dC_VacZVL_d,0,0,0,0
Vac_50,50,RZV_1d,2024,1,dC_VacRZV_d,85,85,85,85
Vac_50,50,RZV_1d,2024,1,dC_Vac_d,85,85,85,85
Vac_50,50,RZV_1d,2024,1,dC_All_d,73.17602713963839,75.76567648023172,55.51880669675919,79.99846996022391
Vac_50,50,RZV_1d,2024,1,dN_VacZVL,0,0,0,0
Vac_50,50,RZV_1d,2024,1,dN_VacRZV,1,1,1,1
Vac_50,50,RZV_1d,2024,1,dN_VacZVL_d,0,0,0,0
Vac_50,50,RZV_1d,2024,1,dN_VacRZV_d,1,1,1,1
Vac_50,50,RZV_1d,2024,1,ICER,10457.24688599464,10521.190775356092,3112.396206622003,19200.862501370455
Vac_50,50,RZV_1d,2024,1,Price0,85,85,85,85
Vac_50,50,RZV_1d,2024,1,Thres20,181.59644912236786,153.19256125470918,88.32666828441874,389.70655421579306
Vac_50,50,RZV_1d,2024,1,Thres30,266.482687253371,225.3205756229534,129.95491014898644,569.5996615699826
Vac_50,50,RZV_1d,2024,1,Thres20_50,NA,153.19256125470918,NA,NA
Vac_50,50,RZV_1d,2024,1,Thres30_90,NA,151.40510229913917,NA,NA
Vac_50,50,RZV_1d,2024,1,Thres,NA,151.40510229913917,NA,NA
Vac_50,50,RZV_2d,2024,1,dYear_Life,2.2591718593001887e-4,1.4559342701048195e-4,3.559074902703685e-5,7.256666413502086e-4
Vac_50,50,RZV_2d,2024,1,dYear_Immunised,17.796867440561183,16.34186068046136,10.72340589837259,29.437096645973323
Vac_50,50,RZV_2d,2024,1,dRisk_HZ,-0.1070671602099095,-0.09421930675376287,-0.20438245641669342,-0.05299714566448625
Vac_50,50,RZV_2d,2024,1,dRisk_Hosp,-0.0017765895790652817,-0.0011551957649549773,-0.005632734363995753,-3.477000730118772e-4
Vac_50,50,RZV_2d,2024,1,dRisk_PHN,-0.005432358555634472,-0.004384256942583669,-0.012788780910781446,-0.0018830310592343358
Vac_50,50,RZV_2d,2024,1,dRisk_Death,-3.364316351439791e-7,-2.040603232960722e-7,-1.0662077754896026e-6,-2.2035238886168468e-8
Vac_50,50,RZV_2d,2024,1,dQ_Life,1.5964657863125708e-4,1.0471018156543721e-4,2.6586652526194854e-5,5.058550642917048e-4
Vac_50,50,RZV_2d,2024,1,dQ_HZ,0.013016557842293153,0.011156312802592506,0.005951793636612458,0.026873663003933
Vac_50,50,RZV_2d,2024,1,dQ_HZ_Norm,0.00541500193270065,0.004821789124848269,0.0028263266986680757,0.010086481962863166
Vac_50,50,RZV_2d,2024,1,dQ_All,0.013174681375968474,0.011259833094156235,0.005987928754388517,0.027293140588809352
Vac_50,50,RZV_2d,2024,1,dQ_HZ_d,0.010285131523957944,0.00909961682971803,0.005259818967309934,0.019555057495887672
Vac_50,50,RZV_2d,2024,1,dQ_HZ_Norm_d,0.004401262476767659,0.004017269793902956,0.0025232426692087685,0.0075704001055042006
Vac_50,50,RZV_2d,2024,1,dQ_Life_d,9.554670847114721e-5,6.514886582920099e-5,1.8004920477476815e-5,2.8935202306055167e-4
Vac_50,50,RZV_2d,2024,1,dQ_All_d,0.01038067823242911,0.00917270891323696,0.00527952960946374,0.01983126696063575
Vac_50,50,RZV_2d,2024,1,dC_Hosp,-6.825599942974896,-4.139093606918651,-23.13057993840329,-1.025449792453733
Vac_50,50,RZV_2d,2024,1,dC_GP_NonPHN,-10.256461815387237,-9.099485743026246,-19.109059658666517,-5.199445740374884
Vac_50,50,RZV_2d,2024,1,dC_GP_PHN,-2.448672371931551,-1.97779217129751,-5.777850698313747,-0.8600211742232057
Vac_50,50,RZV_2d,2024,1,dC_GP,-12.705134187318787,-11.07589234296751,-24.801764897893765,-6.070241051018634
Vac_50,50,RZV_2d,2024,1,dC_Med,-19.530734130293684,-15.245979193321986,-47.93386928630397,-7.096228701038951
Vac_50,50,RZV_2d,2024,1,dC_VacZVL,0,0,0,0
Vac_50,50,RZV_2d,2024,1,dC_VacRZV,170,170,170,170
Vac_50,50,RZV_2d,2024,1,dC_Vac,170,170,170,170
Vac_50,50,RZV_2d,2024,1,dC_All,150.4692658697063,154.754020806678,122.066130713696,162.90377129896103
Vac_50,50,RZV_2d,2024,1,dC_Hosp_d,-4.527810916232704,-2.942264166364833,-14.39304070978729,-0.8593723674797858
Vac_50,50,RZV_2d,2024,1,dC_GP_NonPHN_d,-8.296269479704337,-7.5439140929843465,-14.314624800670044,-4.631151187073411
Vac_50,50,RZV_2d,2024,1,dC_GP_PHN_d,-1.8518627174009037,-1.553575574079562,-4.025814483158881,-0.7493407491648149
Vac_50,50,RZV_2d,2024,1,dC_GP_d,-10.148132197105241,-9.115882176874559,-18.265483549570295,-5.411448056471796
Vac_50,50,RZV_2d,2024,1,dC_Med_d,-14.675943113337945,-12.079272418345369,-32.678638039197466,-6.261399031999716
Vac_50,50,RZV_2d,2024,1,dC_VacZVL_d,0,0,0,0
Vac_50,50,RZV_2d,2024,1,dC_VacRZV_d,170,170,170,170
Vac_50,50,RZV_2d,2024,1,dC_Vac_d,170,170,170,170
Vac_50,50,RZV_2d,2024,1,dC_All_d,155.32405688666205,157.92072758165463,137.32136196080253,163.7386009680003
Vac_50,50,RZV_2d,2024,1,dN_VacZVL,0,0,0,0
Vac_50,50,RZV_2d,2024,1,dN_VacRZV,2,2,2,2
Vac_50,50,RZV_2d,2024,1,dN_VacZVL_d,0,0,0,0
Vac_50,50,RZV_2d,2024,1,dN_VacRZV_d,2,2,2,2
Vac_50,50,RZV_2d,2024,1,ICER,17477.3334179851,17216.8974820265,6981.182629574246,30985.953412338462
Vac_50,50,RZV_2d,2024,1,Price0,85,85,85,85
Vac_50,50,RZV_2d,2024,1,Thres20,111.14475388096008,97.77073902375372,55.995503148945566,213.65035383941031
Vac_50,50,RZV_2d,2024,1,Thres30,163.04814504310562,143.6922641609055,82.39690903724448,312.60295164860827
Vac_50,50,RZV_2d,2024,1,Thres20_50,NA,97.77073902375372,NA,NA
Vac_50,50,RZV_2d,2024,1,Thres30_90,NA,95.81419534857535,NA,NA
Vac_50,50,RZV_2d,2024,1,Thres,NA,95.81419534857535,NA,NA
Vac_51,51,RZV_1d,2024,1,dYear_Life,1.8027848530640612e-4,1.0664499245649495e-4,2.8579803240447177e-5,6.561557897342141e-4
Vac_51,51,RZV_1d,2024,1,dYear_Immunised,14.710519659721843,13.154570255732008,8.70791046254815,26.232190019371124
Vac_51,51,RZV_1d,2024,1,dRisk_HZ,-0.08866731026928669,-0.075378419147517,-0.18341430005505327,-0.043957539806796155
Vac_51,51,RZV_1d,2024,1,dRisk_Hosp,-0.0014248776820465045,-8.634807792849875e-4,-0.005078945934814025,-2.841409040628162e-4
